Lemma,Gloss,Arabic lemmas (or gap),Arabic Gloss
"heart, pump, ticker",the hollow muscular organ located behind the sternum and between the lungs; its rhythmic contractions move the blood through the body,قلب,عضو عضلي مجوف مسؤول عن ضخ الدم في الجسم، يقع خلف عظمة الصدر وبين الرئتين، ويعمل من خلال انقباضات إيقاعية.
"thousand, one thousand, 1000, m, k","denoting a quantity consisting of 1,000 items or units",ألف,تشير إلى كمية تتكون من 1000 عنصر أو وحدة.
"run, flow, feed, course","move along, of liquids",يتدفق,يتحرك أو يسير، بالنسبة للسوائل.
"visit, call in, call",pay a brief visit,يزور,يقوم بزيارة سريعة.
"sled, sledge, sleigh",a vehicle mounted on runners and pulled by horses or dogs; for transportation over snow,زلاجة,وسيلة لنقل الأشخاص على الثلج، تتكون من قاعدة ملساء ومواد خفيفة.
"position, place",the particular portion of space occupied by something,موضع,مكان أو موقع محدد لشيء معين.
"here, hither",to this place (especially toward the speaker),هنا,تشير إلى مكان قريب من المتحدث.
here,in or at this place; where the speaker or writer is,هنا,في هذا المكان؛ حيث المتحدث أو الكاتب موجود.
"second, 2nd, 2d",coming next after the first in position in space or time or degree or magnitude,ثاني,يأتي بعد الأول في الترتيب من حيث الموقع أو الوقت أو الدرجة أو الحجم.
"there, at that place, in that location",in or at that place,هناك,في ذلك المكان.
"sleeve, arm",the part of a garment that is attached at the armhole and that provides a cloth covering for the arm,كم,الجزء من الملابس الذي يتصل بمكان الكتف ويوفر تغطية قماشية للذراع.
wet,covered or soaked with a liquid such as water,رطب,مُبلل أو مُشبع بالسائل.
"third, 3rd, tertiary",coming next after the second and just before the fourth in position,ثالث,توصف الترتيب أو الموقع الثالث في سلسلة أو قائمة
"there, thither",to or toward that place; away from the speaker,هناك,إلى ذلك المكان؛ بعيدًا عن المتحدث.
appear,come into sight or view,يظهر,أن يصبح مرئيًا أو واضحًا.
"colorful, colourful",having striking color,ملون,شيء يحتوي على ألوان متعددة أو زاهية.
pour,cause to run,يصب,عملية سكب السائل بحيث يتدفق من وعاء إلى آخر.
"female child, girl, little girl",a youthful female person,طفلة,أنثى في مرحلة الطفولة.
window,a framework of wood or metal that contains a glass windowpane and is built into a wall or roof to admit light or air,نافذة,فتحة في جدار أو سقف مبنية من الزجاج أو مواد أخرى، تُستخدم للسماح بدخول الضوء والهواء إلى داخل المباني.
"stream, well out",flow freely and abundantly,يتدفق,حركة السائل بشكل مستمر وبقوة من مكان إلى آخر.
"damp, dampish, moist",slightly wet,رطب,رطب قليلاً
praise,express approval of,يمدح,التعبير عن الإعجاب أو التقدير لعمل أو إنجاز شخص ما.
root,(botany) the usually underground organ that lacks buds or leaves or nodes; absorbs water and mineral salts; usually it anchors the plant to the ground,جذر,هو الجزء من النبات الذي ينمو تحت الأرض، ويعمل على تثبيت النبات في التربة وامتصاص الماء والمواد الغذائية.
"breathe, take a breath, respire, suspire","draw air into, and expel out of, the lungs",يتنفس,عملية إدخال الهواء إلى الرئتين وإخراجه، وهي ضرورية للحياة.
line,a length (straight or curved) without breadth or thickness; the trace of a moving point,خط,هو سلسلة مستمرة من النقاط تمتد في اتجاه معين، ويمكن أن يكون مستقيمًا أو منحنيًا.
belt,a band to tie or buckle around the body (usually at the waist),حزام,هو شريط مصنوع عادة من الجلد أو القماش يُستخدم لتثبيت الملابس حول الخصر أو لتأمين الأشياء في مكانها.
"stomach, tummy, tum, breadbasket",an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion,معدة,عضو كيسي عضلي في الجهاز الهضمي
dry,free from liquid or moisture; lacking natural or normal moisture or depleted of water; or no longer wet,جاف,خالٍ من السائل أو الرطوبة؛ يفتقر إلى الرطوبة الطبيعية أو العادية أو مُستنفد من الماء؛ أو لم يعد رطبًا.
hook,a curved or bent implement for suspending or pulling something,خطاف,هو أداة منحنية أو مقعرة تستخدم للإمساك أو التعليق أو الربط، ويمكن أن تكون مصنوعة من المعدن أو البلاستيك أو المواد الأخرى.
bake,prepare with dry heat in an oven,يُخبز,طهي الطعام، خاصة العجائن والكيك، باستخدام الحرارة في الفرن حتى يصبح الطعام ناضجًا ومطهوًا جيدًا.
"gold, au, atomic number 79",a soft yellow malleable ductile (trivalent and univalent) metallic element; occurs mainly as nuggets in rocks and alluvial deposits; does not react with most chemicals but is attacked by chlorine and aqua regia,ذهب,هو عنصر كيميائي ذو قيمة عالية، يُستخدم في المجوهرات، العملات، والتطبيقات الصناعية، ويتميز بلونه الأصفر اللامع ومقاومته للتآكل.
"disappear, vanish, go away","get lost, as without warning or explanation",يختفي,عدم الظهور أو الوجود في مكان معين بعد أن كان موجودًا.
"cook, fix, ready, make, prepare",prepare for eating by applying heat,يطبخ,القيام بعملية التحضير أو الطهي لجعل شيء ما جاهزًا للاستخدام أو الاستهلاك.
"scat, run, scarper, turn tail, lam, run away, hightail it, bunk, head for the hills, take to the woods, escape, fly the coop, break away",flee; take to one's heels; cut and run,يهرُب,الابتعاد عن مكان أو موقف بسرعة، عادةً بسبب الخوف أو الهروب من خطر.
cough,"exhale abruptly, as when one has a chest cold or congestion",يسعل,يخرج الهواء فجأة، كما يحدث عندما يكون الشخص مصابًا بنزلة صدرية أو احتقان.
"flee, fly, take flight",run away quickly,يهرُب,يهرُب بسرعة
wolf,any of various predatory carnivorous canine mammals of North America and Eurasia that usually hunt in packs,ذئب,هو حيوان مفترس ينتمي إلى عائلة الكلبيات، يتميز بقدرته على العيش في جماعات، وله مظهر قوي وأسنان حادة.
"design, pattern, figure",a decorative or artistic work,تصميم,هو خطة أو رسم يوضح كيفية تشكيل شيء ما، ويمكن أن يشير إلى الأنماط والأشكال التي تتكرر أو تتكرر في فن أو عمارة أو أزياء.
blow,exhale hard,ينفخ,يخرج الهواء بقوة.
dark,(used of color) having a dark hue,مظلم,(يُستخدم لوصف اللون) له تدرج لون داكن.
"wife, married woman",a married woman; a man's partner in marriage,زوجة,المرأة التي تكون في علاقة زواج رسمية مع شريك حياتها.
"bring, convey, take",take something or somebody with oneself somewhere,ينقل,القيام بتحريك أو نقل شيء من مكان إلى آخر، أو إحضاره إلى شخص أو مكان معين.
blood,the fluid (red in vertebrates) that is pumped by the heart,دم,سائل أحمر اللون يدور في الأوعية الدموية، ويقوم بنقل الأكسجين والمواد الغذائية إلى خلايا الجسم، ويزيل الفضلات.
"wash, rinse",clean with some chemical process,يغسل,إزالة الأوساخ أو الشوائب باستخدام الماء، إما بشكل كامل (غسل) أو جزئي (شطف).
"iron, fe, atomic number 26",a heavy ductile magnetic metallic element; is silver-white in pure form but readily rusts; used in construction and tools and armament; plays a role in the transport of oxygen by the blood,حديد,عنصر كيميائي برمز (Fe) ورقم ذري 26، وهو معدن قوي ومرن يستخدم في العديد من التطبيقات الصناعية، مثل البناء وصناعة الأدوات. يعتبر الحديد عنصرًا أساسيًا في تكوين الهيموغلوبين في الدم.
"blade, leaf blade",especially a leaf of grass or the broad portion of a leaf as distinct from the petiole,نصل,الجزء الحاد من الأداة أو النبات، والذي يُستخدم للقطع أو كجزء من النبات يقوم بعمليات التمثيل الضوئي.
"part, portion",something less than the whole of a human artifact,جزء,قسم أو قطعة من شيء أكبر، تُستخدم للإشارة إلى توزيع أو تقسيم شيء ما.
"act, behave, do",behave in a certain manner; show a certain behavior; conduct or comport oneself,يتصرف,القيام بفعل أو تصرف معين، سواء كان إيجابيًا أو سلبيًا.
together,in contact with each other,معًا,يُستخدم لوصف وجود شخصين أو أكثر في نفس المكان أو في نفس الوقت، أو عند القيام بشيء ما بشكل مشترك.
"language, linguistic communication",a systematic means of communicating by the use of sounds or conventional symbols,لغة,وسيلة تواصل تستخدمها الجماعات البشرية للتعبير عن الأفكار والمشاعر، وتتكون من مجموعة من الرموز والأصوات والقواعد.
"topic, subject, issue, matter",some situation or event that is thought about,موضوع,يتعلق بمحتوى أو فكرة معينة تُناقَش أو تُعالج، ويمكن أن تشير إلى قضية أو مادة دراسية.
fox,alert carnivorous mammal with pointed muzzle and ears and a bushy tail; most are predators that do not hunt in packs,ثعلب,حيوان ثديي من فصيلة الكلبيات، يتميز بذكائه وسرعته. يُعرف بفروه الكثيف ولونه البرتقالي أو الأحمر، ويعيش عادة في الغابات والمناطق الريفية.
then,at that time,عند اذن,"تُستخدم للإشارة إلى زمن لاحق أو لتتابع الأحداث، بمعنى ""في تلك اللحظة"" أو ""بعد ذلك""."
"then, so, and so, and then",subsequently or soon afterward (often used as sentence connectors),ثمّ,تُستخدم للتعبير عن تتابع الأحداث أو النتائج، أو للربط بين الأفكار.
circle,something approximating the shape of a circle,دائرة,شكل هندسي يتكون من مجموعة من النقاط المتساوية البعد عن نقطة مركزية، حيث يكون البعد هو نصف قطر الدائرة. تستخدم الدائرة في الرياضيات والفن والعديد من التطبيقات الهندسية.
"once, one time, in one case",on one occasion,مرة واحدة,تُستخدم للإشارة إلى حدوث شيء ما في مناسبة واحدة فقط.
"tear, teardrop",a drop of the clear salty saline solution secreted by the lacrimal glands,دمعة,السائل الذي يُفرز من الغدد الدمعية في العين، وعادةً ما يحدث عند البكاء أو نتيجة للتهيّج.
knit,make (textiles) by knitting,ينسج,عملية ربط الخيوط معًا باستخدام إبرة أو آلة حياكة لصنع قماش أو قطعة ملابس مثل السُترات أو الأوشحة.
hard,resisting weight or pressure,صلب,شيء يتمتع بصلابة أو مقاومة، سواء فيزيائيًا مثل الحجر، أو للإشارة إلى صعوبة شيء ما مثل مهمة أو مشكلة.
"once, formerly, at one time, erstwhile, erst",at a previous time,سابقًا,شيء حدث في الماضي أو لوقت معين سابق.
rest,be at rest,يستريح,التوقف عن العمل أو النشاط من أجل الاسترخاء أو استعادة القوة والطاقة، أو قد يشير أيضًا إلى وضع شيء ما في حالة ثابتة أو غير متحركة.
drive,"to compel or force or urge relentlessly or exert coercive pressure on, or motivate strongly",يقود,التحكم في مركبة (مثل سيارة) أو دفعها إلى الأمام باستخدام نظام التحكم مثل عجلة القيادة والسرعة. يمكن أن يشير أيضًا إلى الدافع أو الحافز الذي يدفع شخصًا للعمل أو السعي لتحقيق هدف.
word,a unit of language that native speakers can identify,كلمة,وحدة من اللغة تتكون من مجموعة من الحروف، تحمل معنى معين، وتستخدم للتواصل. يمكن أن تكون كلمة مستقلة أو جزءًا من جملة.
"sleep, kip, slumber, log z's, catch some z's",be asleep,ينام,حالة الراحة التي يدخل فيها الجسم عند إغلاق العينين وفقدان الوعي، حيث يتم استعادة الطاقة وتخفيف التوتر.
"wide, broad",having great (or a certain) extent from one side to the other,واسع,يمتلك مدى كبير (أو مدى معين) من جانب إلى آخر.
truth,a fact that has been verified,حقيقة,المطابقة بين الفكر أو القول والواقع أو الحقائق. يمكن أن تعني أيضًا الصدق أو النزاهة في السلوك أو الكلام.
"cat, true cat",feline mammal usually having thick soft fur and no ability to roar: domestic cats; wildcats,قطة,حيوان ثديي من فصيلة السنوريات، يتميز بجسم رشيق وفرو ناعم، وعادة ما يُربى كحيوان أليف.
"firm, solid",not soft or yielding to pressure,صلب,بنية قوية وغير قابلة للتغيير بسهولة، سواء كان ذلك في سياق المواد (مثل الحجر أو الخشب) أو الأفكار (مثل المعتقدات القوية).
"gentle, soft",soft and mild; not harsh or stern or severe,لطيف,ناعم ولطيف؛ غير قاسي أو صارم أو شديد.
narrow,not wide,ضيق,عرض صغير أو مساحة محدودة بين الجانبين
"birch, birch tree",any betulaceous tree or shrub of the genus Betula having a thin peeling bark,شجرة البتولا,نوع من الأشجار يتبع فصيلة البتوليات، تُعرف بلحاءها الأبيض الناعم وأوراقها المدببة. تنمو شجرة البتولا في المناطق المعتدلة وتستخدم في صناعة الأثاث والورق، كما تُعتبر رمزًا للجمال في بعض الثقافات.
"woman, adult female",an adult female person (as opposed to a man),امرأة,الفرد البالغ من الجنس الأنثوي، وتُستخدم لوصف البالغات من الإناث اللواتي يتمتعن بالخصائص البيولوجية والثقافية المرتبطة بالأنوثة.
path,a way especially designed for a particular use,مسار,الطريق أو المسار الذي يسلكه شخص أو شيء ما
clean,free from dirt or impurities; or having clean habits,نظيف,خلو الشيء من الأوساخ أو الشوائب
soft,yielding readily to pressure or weight,ناعم,شيء يمتاز بالملمس اللطيف، المرن، أو ليس قاسيًا أو صلبًا.
"fall asleep, dope off, flake out, drift off, nod off, drop off, doze off, drowse off",change from a waking to a sleeping state,يغفو,لتحول من حالة اليقظة إلى حالة النوم.
"foe, enemy",a personal enemy,عدو,شخص يناصب العداء لشخص آخر، أو يكون في مواجهة وصراع معه، وقد يسعى للإضرار به أو إحباطه.
swing,"move in a curve or arc, usually with the intent of hitting",يتأرجح,التحرك أو التأرجح في مسار مقوس أو دائري.
"decorate, adorn, grace, ornament, embellish, beautify","make more attractive by adding ornament, colour, etc.",يزيّن ,إضافة زينة أو عناصر تجميلية لتحسين مظهر شيء ما أو لإضفاء جمالية عليه.
"awaken, wake, waken, rouse, wake up, arouse",cause to become awake or conscious,استيقظ,استعادة الوعي أو الخروج من حالة النوم.
"wake up, awake, arouse, awaken, wake, come alive, waken",stop sleeping,استيقظ,الانتقال من حالة النوم إلى حالة اليقظة أو الانتباه، وعادةً ما يحدث هذا عندما تتفاعل الحواس مع المحفزات الخارجية.
"silver, ag, atomic number 47",a soft white precious univalent metallic element having the highest electrical and thermal conductivity of any metal; occurs in argentite and in free form; used in coins and jewelry and tableware and photography,فضة,عنصر كيميائي برمز Ag ورقم ذري 47، وهو معدن ثمين ولامع يستخدم في صناعة المجوهرات، العملات، والأدوات الكهربائية.
house,a dwelling that serves as living quarters for one or more families,منزل، بيت,بناء يستخدم كمكان للإقامة.
"dirty, soiled, unclean",soiled or likely to soil with dirt or grime,متسخ,غير نظيف، مغطى بالأوساخ أو الشوائب.
"flex, bend, deform, twist, turn",cause   (a plastic object) to assume a crooked or angular form,ينحني,القيام بتغيير شكل أو وضع شيء عن طريق الثني أو الالتواء أو الدوران.
turn,cause to move around or rotate,يدور,تحويل الاتجاه أو الحركة حول محور.
sand,a loose material consisting of grains of rock or coral,رمل,جزيئات صغيرة من المعادن أو الصخور
"foreman, chief, gaffer, honcho, boss",a person who exercises control over workers,رئيس,شخص مسؤول عن الإشراف على عمال أو مجموعة من الأشخاص في موقع العمل، ويتولى تنظيم وتوجيه الأعمال.
"chill, iciness, gelidity",coldness due to a cold environment,برودة,الشعور بالبرد أو انخفاض درجة الحرارة، أو الحالة التي تكون فيها درجة الحرارة منخفضة جدًا.
"vein, vena, venous blood vessel",a blood vessel that carries blood from the capillaries toward the heart,وريد,وعاء دموي ينقل الدم من الأنسجة إلى القلب، ويتميز بجدرانه الرقيقة مقارنة بالشرايين.
"boast, tout, swash, shoot a line, brag, gas, blow, bluster, vaunt, gasconade",show off,يتفاخر,التحدث عن الذات أو الإنجازات بطريقة مفرطة وغالبًا ما تكون مصحوبة بالمبالغة، وهي تعبر عن الغرور أو محاولة إثارة إعجاب الآخرين بدون ضرورة حقيقية.
monkey,any of various long-tailed primates (excluding the prosimians),قرد,حيوان ثديي يتميز بذكائه قدرته على تسلق الأشجار واستخدام الأدوات في بعض الأحيان. يعيش غالبًا في المناطق الاستوائية والمناطق الغابية.
"tie, bind","fasten or secure with a rope, string, or cord",يربط,ربط شيء باستخدام خيط، حبل
"thrust, stuff, shove, squeeze",press or force,يدفع ,الدفع بقوة أو إدخال شيء إلى الأمام باستخدام ضغط أو قوة كبيرة
"promise, assure",make a promise or commitment,يؤكد, تقديم الثقة أو الطمأنينة لشخص آخر حول شيء ما
"tie down, tie up, bind, truss",secure with or as if with ropes,يربط,إجراء يهدف إلى تأمين أو تثبيت شيء ما من خلال استخدام حبال
bear,massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws,دب,هو حيوان كبير وقوي، يتميز بجسمه الممتلئ، وأرجله القوية، وقدرته على العيش في بيئات متنوعة، بما في ذلك الغابات والجبال.
"luminosity, brightness, brightness level, luminance, luminousness, light",the quality of being luminous; emitting or reflecting light,الإضاءة,خاصية كون الشيء مشعًا؛ تعني قدرته على إصدار الضوء أو عكسه، مما يجعله مرئيًا للعين البشرية
spider,predatory arachnid that usually has silk-spinning organs at the back end of the body; they spin silk to make cocoons for eggs or traps for prey,عنكبوت,هو حيوان صغير يملك ثمانية أرجل، ويتميز بقدرته على إنتاج خيوط العنكبوت التي يستخدمها في بناء الشبكات لصيد الفريسة. 
"fill, fill up, make full","make full, also in a metaphorical sense",ملء,إدخال مادة أو محتوى في حاوية أو مساحة فارغة بحيث يصبح ممتلئًا تمامًا.
"grief, sorrow",something that causes great unhappiness,الحزن,هو شعور عاطفي مؤلم ينتج عن فقدان أو خيبة أمل أو حدث مؤلم.
"idea, thought",the content of cognition; the main thing you are thinking about,فكرة,هي نتاج عملية التفكير، وتتضمن المفاهيم والمعتقدات والتصورات التي تنشأ في العقل حول موضوع معين.
"state, province",the territory occupied by one of the constituent administrative districts of a nation,إقليم,هو وحدة إدارية أو جغرافية داخل بلد ما، قد يُطلق عليها ولاية، مقاطعة، أو محافظة، حسب النظام السياسي للبلد.
"blanket, cover",bedding that keeps a person warm in bed,غطاء,هو أي شيء يُستخدم لتغطية أو حماية جسم أو عنصر معين.
"laugh, express joy, express mirth",produce laughter,يضحك,إصدار صوت أو تعبير جسدي يدل على الفرح أو التسلية.
"willow, willow tree",any of numerous deciduous trees and shrubs of the genus Salix,شجرة الصفصاف,هو نوع من الأشجار ينتمي إلى جنس Salix، يتميز بأغصانه الرقيقة وأوراقه الطويلة والضيقة. غالبًا ما تنمو هذه الأشجار بالقرب من مصادر المياه مثل الأنهار والبحيرات.
"succeed, win, come through, bring home the bacon, deliver the goods",attain success or reach a desired goal,ينجح,هو تحقيق هدف معين أو الوصول إلى نتيجة إيجابية بعد بذل الجهد أو التغلب على التحديات.
"adept, expert, good, practiced, proficient, skillful, skilful",having or showing knowledge and skill and aptitude,خبير,الشخص الماهر أو الخبير هو من يمتلك قدرات ومهارات عالية في مجال معين، سواء كانت نتيجة خبرة طويلة، تدريب مستمر، أو ممارسة متكررة.
corner,the point where three areas or surfaces meet or intersect,زاوية,هي نقطة التقاء سطحين أو جدارين يشكّلان نقطة داخلية أو خارجية حادة.
blunt,used of a knife or other blade; not sharp,صريح,عدم وجود حدة أو دقة في الشكل (مثل السكاكين) أو تعبر عن أسلوب واضح وصريح في الحديث.
"kind, sort, form, variety",a category of things distinguished by some common characteristic or quality,نوع,فئة أو مجموعة من الأشياء أو الأشخاص التي تشترك في خصائص أو ميزات معينة.
sharp,having or made by a thin edge or sharp point; suitable for cutting or piercing,حاد,يمتلك أو مُصنّع بحيث يحتوي على حافة رفيعة أو نقطة حادة، مما يجعله ملائمًا لعمليات القطع أو الثقب.
"botch, bodge, bumble, fumble, botch up, muff, blow, flub, screw up, ball up, spoil, muck up, bungle, fluff, bollix, bollix up, bollocks, bollocks up, bobble, mishandle, louse up, foul up, mess up, fuck up","make a mess of, destroy or ruin",يفشل,الفشل في القيام بمهمة معينة أو إفساد شيء ما، سواء كان ذلك نتيجة للإهمال، سوء التخطيط، أو عدم الكفاءة.
bathe,cleanse the entire body,يستحم,عملية تنظيف الجسم باستخدام الماء أو تغطية شيء ما بسائل.
"wash, lave",cleanse (one's body) with soap and water,يغسل,عملية تنظيف باستخدام الماء،
friend,a person you know well and regard with affection and trust,رفيق,شخص تعرفه جيدًا وتعتبره محبًا وموثوقًا.
"rush, hasten, hurry, look sharp, festinate",act or move at high speed,يهرع,يتصرف أو يتحرك بسرعة عالية.
"idol, graven image, god",a material effigy that is worshipped,GAP,
tip,the extreme end of something; especially something pointed,طرف,نهاية أو نقطة حادة لشيء، مثل القلم أو السكين.
weight,the vertical force exerted by a mass as a result of gravity,وزن,مقياس الثقل أو القوة الجاذبية المؤثرة على جسم
hay,grass mowed and cured for use as fodder,علف,الأعشاب المجففة التي تُستخدم في العلف الحيواني
"join, bring together",cause to become joined or linked,يجمع,عملية الجمع أو الالتحاق بين الأشياء أو الأفراد
"try, seek, attempt, essay, assay",make an effort or attempt,يحاول,بذل جهد أو محاولة.
town,an urban area with a fixed boundary that is smaller than a city,بلدة,منطقة سكنية تتسم بالتجمع السكاني والخدمات الأساسية، وغالبًا ما تكون أقل حجمًا من المدن الكبرى.
"comb, comb out, disentangle",smoothen and neaten with or as with a comb,يمشط,عمليات ترتيب وفك التشابكات في الشعر أو المواد الأخرى، مما يساعد على تحسين المظهر وإزالة الفوضى.
spade,a sturdy hand shovel that can be pushed into the earth with the foot,مجرفة,أداة تستخدم للحفر أو نقل التربة، عادةً ما تحتوي على مقبض طويل ورأس مسطح.
ask,address a question to and expect an answer from,يسأل,توجيه سؤال إلى شخص ما وتوقع إجابة منه.
"feel, sense","perceive by a physical sensation, e.g., coming from the skin or muscles",يشعر,إدراك أو تجربة شيء ما، سواء كان ذلك عبر الحواس الجسدية أو من خلال المشاعر والعواطف.
strength,the property of being physically or mentally strong,قوة,القدرة على التحمل أو الفعالية في مواجهة التحديات، سواء كانت جسدية أو نفسية.
"village, hamlet",a settlement smaller than a town,قرية,تجمع سكاني صغير يتضمن منازل ومرافق عامة، وعادة ما يكون محاطًا بالريف.
hear,receive a communication from someone,يسمع,عملية إدراك الصوت، وهي واحدة من الحواس الخمس التي تمكننا من التفاعل مع العالم من حولنا.
stupid,lacking or marked by lack of intellectual acuity,غبي,قلة الفهم أو عدم القدرة على التفكير بشكل منطقي أو حكيم.
boat,a small vessel for travel on water,قارب,وسيلة للنقل على الماء.
"cut off, chop off, lop off",remove by or as if by cutting,يقطع,إزالة أو فصل شيء عن شيء آخر
far,at a great distance in time or space or degree,بعيد,مسافة طويلة عن شيء أو مكان
"pipe, tube",a hollow cylindrical shape,أنبوب,شكل أسطواني مجوف.
"longing, yearning, hungriness",prolonged unfulfilled desire or need,رغبة شديدة,رغبة أو حاجة مستمرة غير مُشبعة.
smooth,having a surface free from roughness or bumps or ridges or irregularities,ناعم,"يمتلك سطحًا خاليًا من الخشونة أو النتوءات أو الحواف أو عدم الانتظام."""
bark,tough protective covering of the woody stems and roots of trees and other woody plants,لحاء الشجرة,هو الجزء الخارجي الذي يحمي الشجرة، يتكون من عدة طبقات وله وظائف عديدة، منها حماية الشجرة من الحشرات والأمراض.
"near, close, nigh",not far distant in time or space or degree or circumstances,قريب,قريب في المسافة أو الوقت.
branch,"a division of a stem, or secondary stem arising from the main stem of a plant",فرع,تقسيم لجذع، أو جذع ثانوي ينشأ من الجذع الرئيسي لنبات.
"rear, raise, bring up, nurture, parent",bring up,يربي,تربية أو الاعتناء بشيء أو شخص، خاصة الأطفال، من خلال توفير الرعاية والدعم والتوجيه.
"periphery, fringe, outer boundary",the outside boundary or surface of something,حدود,الحد الخارجي أو السطح لشيء ما.
"branchlet, twig, sprig",a small branch or division of a branch (especially a terminal division); usually applied to branches of the current or preceding year,غصين,غصين صغير أو تقسيم من فرع (خاصة تقسيم نهائي).
"voice, vocalization, vocalisation, vocalism, phonation, vox",the sound made by the vibration of vocal folds modified by the resonance of the vocal tract,صوت,الصوت الناتج عن اهتزاز الحبال الصوتية المعدلة بواسطة تردد تجويف الصوت.
"dress, clothe, enclothe, garb, raiment, tog, garment, habilitate, fit out, apparel",provide with clothes or put clothes on,يرتدي,تزويد الملابس أو ارتداؤها
"charcoal, wood coal",a carbonaceous material obtained by heating wood or other organic matter in the absence of air,فحم,مادة كربونية يتم الحصول عليها عن طريق تسخين الخشب أو غيره من المواد العضوية في غياب الهواء.
"chicken, gallus gallus",a domestic fowl bred for flesh or eggs; believed to have been developed from the red jungle fowl,دجاج,هو طائر داجن تم تربيته من أجل اللحم أو البيض؛ يُعتقد أنه تم تطويره من الدراج الأحمر.
"notice, mark, note",notice or perceive,يلاحظ,الانتباه أو الإدراك لشيء معين.
"trunk, tree trunk, bole",the main stem of a tree; usually covered with bark; the bole is usually the part that is commercially useful for lumber,جذع,الجذع السميك والمركزي لشجرة، الذي يدعم الفروع والأوراق.
"cock, rooster",adult male chicken,ديك,ذكر الدجاج
"salt, table salt, common salt",white crystalline form of especially sodium chloride used to season and preserve food,ملح,مركب كيميائي يتكون عادة من الصوديوم والكلور، ويستخدم في الطهي والصناعة.
"wear, put on, get into, don, assume",put clothing on one's body,يرتدي,وضع الملابس على الجسم.
"doll, dolly",a small replica of a person; used as a toy,دمية,دمية مصنوعة من مواد مختلفة (مثل القماش أو البلاستيك) تستخدم كأداة للعب
take off,remove clothes,يخلع,خلع الملابس
"murmur, mutter, grumble, croak, gnarl",make complaining remarks or noises under one's breath,يتذمر,إصدار تعليقات أو أصوات تذمر بشكل غير مسموع.
wing,a movable organ for flying (one of a pair),جناح,جزء من جسم الطائر أو الطائرة يستخدم للطيران.
"bite, sting, burn",cause a sharp or stinging pain or discomfort,يحرق,يُسبب ألمًا حادًا أو لاذعًا أو انزعاجًا.
"scrape, grate",scratch repeatedly,يخدش,إزالة شيء عن سطح بواسطة أداة حادة أو خشنة.
"dance, trip the light fantastic, trip the light fantastic toe",move in a pattern; usually to musical accompaniment; do or perform a dance,يرقص,التحرك بنمط معين؛ عادةً مع مرافق موسيقي؛ القيام أو أداء رقصة.
"dig, delve, cut into, turn over","turn up, loosen, or remove earth",يحفر,إزالة التربة أو المواد الأخرى باستخدام الأدوات أو اليدين.
"ache, smart, hurt",be the source of pain,GAP,
heavy,of comparatively great physical weight or density,ثقيل,شيء له وزن كبير أو شعور بالثقل، سواءً جسديًا أو معنويًا.
space,an empty area (usually bounded in some way between things),مساحة,الفراغ الذي يحيط بنا، أو المنطقة التي تشغلها الأشياء، أو المساحة الفارغة بين الأشياء.
"exclaim, cry, cry out, outcry, call out, shout","utter aloud; often with surprise, horror, or joy",يصرخ,يُطلق صوتًا عاليًا؛ غالبًا مع الدهشة أو الرعب أو الفرح.
"battle, conflict, fight, engagement",a hostile meeting of opposing military forces in the course of a war,معركة,صراع مسلح بين جيشين أو مجموعتين كبيرتين، أو يمكن أن تعني مواجهة كبيرة.
"picture, image, icon, ikon",a visual representation (of an object or scene or person or abstraction) produced on a surface,صورة,تمثيل بصري (لشيء أو مشهد أو شخص أو فكرة مجردة) يتم إنتاجه على سطح.
"smoke, smoking",a hot vapor containing fine particles of carbon being produced by combustion,دخان,الغاز الناتج عن احتراق مادة، وغالبًا ما يكون له رائحة ويكون مرئيًا.
smell,inhale the odor of; perceive by the olfactory sense,يشم,استخدام حاسة الشم لاكتشاف أو التعرف على الروائح.
"rescue, deliver",free from harm or evil,أنقذ ، نجّى ، خلّص ,خَلَّصَ شخصًا أو شيئًا من خطرٍ أو هلاكٍ وشيك، أو من وضع سيئ، أو من حالة تُشكّل تهديدًا لحياته أو سلامته.
claw,sharp curved horny process on the toe of a bird or some mammals or reptiles,مخلب,هو الجزء الحاد والمقوس الموجود في أطراف الطيور، والثدييات، والزواحف.
boot,footwear that covers the whole foot and lower leg,حذاء,حذاء يغطي القدم بالكامل والساق السفلية.
fish,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills,سمكة,نوع من الكائنات الحية المائية التي تتنفس من خلال الخياشيم ولها زعانف.
tail,the posterior part of the body of a vertebrate especially when elongated and extending beyond the trunk or main part of the body,ذيل,الجزء الخلفي من جسم الفقاريات، خاصة عندما يكون طويلًا ويمتد وراء الجذع أو الجزء الرئيسي من الجسم.
"complete, finish",come or bring to a finish or an end,يُكمل,إنهاء شيء أو إتمامه
so,"in such a condition or manner, especially as expressed or implied",GAP,
"search, seek, look for","try to locate or discover, or try to establish the existence of",يبحث,لبحث عن شيء أو شخص
"lie, prevarication",a statement that deviates from or perverts the truth,كذبة,التملص أو التلاعب بالحقائق
see,perceive by sight or have the power to perceive by sight,يرى,إدراك شيء أو شخص بواسطة البصر.
