Banjarese Lemma,Banjarese Definition,Indonesian Lemma,Indonesian Definition
acan,bumbu masakan nang diulah matan hundang atawa iwak halus nang ditumbuk lanik dipakai gasan sambal atawa gasan manyamani makanan,acan; terasi,udang fermentasi sebagai penyebab makanan
rarambanan,sayur-sayuran,GAP,
balikuhai,wadai nang macam wafel tapi matan tepung beras,GAP,
ancah,"banyu gulai (sayur, daging, dan lainnya), biasa dimakan bersama dengan nasi",GAP,
bingka kentang,bingka kentang marupakan salah sabuting janis matan bingka wadai tradisiunal indunisia matan kalimantan selatan bahan paling panting matan paulahan bingka kentang adalah kentang nang sudah dijarang wan diramuk ramuk atawa dibalindir salain kentang wadai ngini jua diulah matan bahan bahan nang lain nang kaya santan hintalu nyiur baparut gula dan wan uyah wadai ngini diharagu di panggangan oven atawa bisa jua disumap bingka kentang baisi rasa nang liwar nyaman bantukannya bamacam macam tapi biasanya barupa kambang kambang atawa bintang bintang,bingka kentang,"kue yang terbuat dari campuran tepung ketan, kelapa parut, dan gula, dan kentang kemudian dimasak dengan cara dikukus hingga matang"
salam tumbuhan,salam adalah ngaran tanaman nang diambil daunnya gasan rarampah nang dipakai dalam makanan di indunisia ngaran lain daun salam dalam basa inggris disambat lawan indonesian bay leaf atawa indonesian laurel tagal ngaran ilmiahnya adalah syzygium polyanthum,salam,"digunakan terutama sebagai rempah pengharum masakan di sejumlah negeri di Asia Tenggara, baik untuk masakan daging, ikan, sayur mayur, maupun nasi."
bulanak,sejenis iwak laut teropis dan subtropis nang bentuknya parak manyarupai bandeng,GAP,
tangkawang,nama pohon yang buahnya dijadikan bahan makanan,GAP,
tarap,tarap adalah ngaran buah nang mahirip tiwadak tapi balain bandanya lamun diandak bahigaan lawan rambutan cagaran kalihatan nangkaya rambutan ganal lawan pas dibuka dalamnya banyak baisi buah nangkaya buah rambutan buah tarap dalam bahasa ilmiah dingarani artocarpus odoratissimus biasanya buah tarap tahalus pada buah nangka tagal banyak juwa urang bapadah buah ngini mahirip duwa buah sukun pada buah buah nangka,GAP,
jajaringan,"nama kuih matan tepung baras dibentuk sebesar jengkol dan dikukus, dimakan dengan tahilala/santan kental nang dimasak hingga airnya habis",GAP,
barakat,makanan nang dibawa pulang sehabis kenduri,GAP,
apam barenda,"makanan ringan khas matan Kota Barabai, Kabupatin Hulu Sungai Tengah",GAP,
nasi tambak,nasi lembek nang dipadatkan seperti ketupat,GAP,
gagampam,"makanan nang diulah matan ubi nang direbus lalu dicampur gula dan nyiur, getuk",GAP,
rangas,nama sejenis pohon/buah,GAP,
ipau,"wadai banjar nang berwarna putih, berbentuk bulat dengan taburan daging di lapisan atasnya dan memiliki tekstur lembut",GAP,
is buah,minuman has Banjar nang dicampur is dan buah,GAP,
pais pisang,"makanan khas Banjar berbahan dasar tepung, santan atau nyiur parut, pisang nang dipotong kecil-kecil, gula pasir dan air, dibungkus daun seperti pepes tetapi tidak menggunakan lidi, ujung daun hanya dilipat, lalu dikukus",GAP,
mi bancir,mi bancir adalah makanan mi has urang banjar matan kalimantan selatan mi ngini dingarani damintu marga disurungakannya kada karing wan kada jua basah lawan di atasnya diandaki daging ayam kampung hintalu itik tambak wan limau kuit nang has kalimantan selatan makanan ngini jadi tasuhur di luar kalimantan selatan marga usaha agus sasirangan nang jadi juara dua dalam paturaian masak masterchef indonesia musim panambaian,GAP,
nasi astakona,"nasi yang dimasukkan ke dalam talam astakona yang bersusun tiga tingkat, pada bagian atas nasi diletakkan udang secara melingkar untuk hiasan, pada tingkat atas taiam diletakkan seekor ayam matang, hidangan ini untuk penyambutan tamu agung",GAP,
toman,iwak nang hirip lawan iwak haruan tagal taganal,GAP,
masakan jerman,masakan jerman bamacam macam matan wilayah ka wilayah nang lain wilayah bayern wan swabia baisi tradisi masakan nang mirip lawan tatangga buhannya di salatan swiss wan austria babi sapi wan unggas adalah daging utama nang rancak dimakn di jkrman di antara unggas ayam adalah nang paling rancak biar bebek angsa wan kalkun juga dimakan,GAP,
hundang ramuyan,hundang kacui nang ada di sawah,GAP,
kikicak,"nama kuih matan tepung ketan, dibentuk sebesar kelereng, dimasak dengan santan dan gula merah",GAP,
nangka walanda,"tumbuhan baguna nang ba'asal matan Karibia, Amirika Tengah wan Amirika Selatan",sirsak; nangka belanda,"pohon tinggi, kulit buahnya berduri-duri pendek dan lunak, isinya berwarna putih serta berbiji banyak; nangka belanda; Anona muricata"
tauman,iwak nang hirip lawan iwak haruan tagal taganal,GAP,
wadai sumapan,kuih-kuih nang dimasak dalam talam nang dikukus,GAP,
gaguduh ayam,gaguduh ayam atawa ayam bagalapung adalah makanan nang diulah matan ayam nang ditatak halus halus dilapisi galapung atawa adunan incir nang babumbu nang imbah ngitu disanga disanga barandam disanga di rinjing batakanan atawa disanga kada baminyak galapungnya ngini cagaran manambahi ranyah atawa karak di luarnya salajur manahanakan kalambutan wan kadar banyu dalam daging gaguduh ayam ngini biasanya mamakan ayam ras,ayam tepung,ayam yang dibaluri dengan tepung lalu digoreng dengan minyak panas.
bubur randang,"makanan nang diulah matan tepung sagu dibentuk butiran kecil, dimasak dengan gula merah dan dimakan dengan santan segar",GAP,
ilat,ilat dari hewan nang dipakai untuk masak,lidah,lidah
sahur,sabuting istilah Islam nang marujuk ka aktipitas makan ulih umat Muslim nang digawi wayah sabalum subuh gasan nang cagar manggawi ibadah puasa di bulan Ramadan,sahur,esbuah istilah Islam yang merujuk kepada aktivitas makan oleh umat Islam yang dilakukan pada dini hari bagi yang akan menjalankan ibadah puasa pada bulan Ramadan.
alua kanas,alua matan buah kanas,GAP,
minuman hampul,minuman hampul adalah minuman nang kada mangandung alkuhul wan adalah lawan kata matan minuman karas rancaknya istilah ngini wastu dipakai gasan minuman dingin kupi tih langat suklat langat kada dianggap sabuting minuman hampul,GAP,
kipung,mamakan iwak atawa sayurnya haja kada banasi nasian bisa maraga iwak atawa sayurnya nyaman banar atawa maraga lagi kada tapi mau makan nasi,GAP,
karupuk gandum,karupuk nang diulah matan terigu,GAP,
nasi pundut,"nasi nang dimasak dengan santan, dibungkus dengan daun pisang, dikukus",GAP,
bubur gunting banjar,bubur gunting adalah salah sabuting makanan matan indonesia nang tiba kalimantan selatan bubur gunting biasanya babantuk panjang kicul duwa tarasa kinyul wan rancak disajikan pas rahatan babuka puasa,GAP,
sate tulang,sate ayam has Banjar,sate tulang,"sate yang tidak menggunakan tulang sebagai bahan utama, melainkan potongan daging ayam yang dekat dengan tulang,"
lapis legit,lapis legit atawa spekkoek adalah ngaran wadai balapis lapis nang rasanya manis banar wadai ngini dikambangakan wayah panjajahan walanda rarampah gasan maulah wadai ngini mahirip lawan wadai lapis tagal kada diganti lawan buah pala wan adas,lapis legit,kue yang di lapis bertumpuk memiliki rasa manis
kalangkala padi,kalangkala yang ukurannya lebih kecil dan rasanya lebih manis,GAP,
bakpao,"makanan tradisional Tionghoa, bungkusan (baisi) daging",bakpao,kue spt roti terbuat dr terigu dng isi daging atau kacang hijau
limping pisang,lempeng nang bahannya ditambahi pisang nang dipotongan kecil-kecil,GAP,
lakatan bahinti,lakatan bahinti adalah wadai khas indunisia khususnya bubuhan banjar nang tadiri matan lakatan nang dibari serundeng sarunding atawa nyiur parut nang dicampur lawan gula habang daun pandan banyu garam wan kayu manis,lakatan bahinti,wadai khas banjar nang baisi lakatan
hundang bajang,hundang laut nang seganal telunjuk,GAP,
jawaw,"puhun tahunan tropika dan subtropika matan kulawarga Euphorbiaceae, bungkahnya dipinandui sacara lumbah sabagai makanan pukuk panghasil karbohidrat wan daunnya sabagai sayuran.",ubi kayu; singkong,singkong; ketela kayu
gangan walatung,sayur berkuah dengan bahan dasar walatung,GAP,
gargadil,gargadil adalah ngaran wadai nang bantukannya melengkung nangkaya bulan sabit higanya baulir wan bagalumbang halus halus di kulitnya gargadul diulah matan galapung gandum gasan kulitnya nang disanga mamakai minyak lamak nang tabanyak pada biasanya isinya bisa daging giling kiju mozzarella suwiran ayam duwa kiju sampai undang sayur suun lawan intalu bajarang,GAP,
gangan humbut,gangan nang dibuat matan labu dan humbut,GAP,
cancarum,cancarum adalah ngaran tanaman rarambaan halus nang daunnya kawa dimakan jadi gangan atawa dimakan mantah daunnya babau harum nang kuat tagal ada saikit babau limau daun cancarum ngini rajin dipakai urang lamun handak mamais lamun dimakan gasan gangan rajin duwa daun kul bilungka bahiris duwa sambal nang rajin juwa tapaimbai lawan ayam atawa iwak basanga di thailand daun cancarum disambat lawan ngaran manglak nang rancak ada tarus di makanan buhannya,kemangi,Kemangi adalah terna kecil yang daunnya biasa dimakan sebagai lalap.
suklat,makanan nang bahan utamanya matan buah coklat,coklat,"pohon yg bijinya dibuat campuran minuman dsb, Theobroma cacao"
ginalun,ginalun atawa lapisanthes alata adalah tanaman nang tumbuh di daerah nang paling pedalaman kalimantan ginalun rancak tumbuh di tanah nang subur wan banyak mangandung hara talindungi matan cahaya matahari langsung sarta kalambapannya cukup tinggi pohon ginalun sedikit lebih tinggi matan tanaman kalalayu yakni 5 7 meter diameter batangnya kawa mancapai ukuran paha urang tuha kulit batangnya berwarna cokelat tua wan permukaan kada begitu halus wan kada mengilat batangnya lebih layat atawa liat dibanding akan pohon kalalayu dahan wan rantingnya tumbuh di batang tapi kada tapi banyak wan jaraknya jarang nang kaya tumbuhan kalalayu daunnya jua kada damintu labat,Ginalun,Ginalun (Lepisanthes alata) adalah tanaman buah yang tumbuh di pedalaman Kalimantan. Ginalun juga dikenal dengan nama balangkasua atau perupuk.
nasi hahadap,"nasi ketan yang diberi hiasan irisan telur dadar yang ditata daiam sebuah talam, sebagai hidangan pada upacara perkawinan yang diletakkan di depan pengantin",GAP,
hundang,hundang adalah binatang nang hidup di perairan khususnya sungai laut atawa danau hundang baulih ditemukan di babaya semua genangan banyu nang berukuran ganal baik banyu tawar banyu payau maupun banyu asin pada kedalaman bervariasi matan parak permukaan hingga beberapa ribu meter di bawah permukaan hundang biasa dijadikan makanan laut seafood,udang,udang nang ada di laut atau danau
hundang salatanan,hundang nang ada wayah angin salatan,GAP,
jaruk tiwadak,asinan kulit cempedak,GAP,
gangan haruan,sayur berkuah yang dimasukkan ikan gabus,sop ikan,sop atau sayur kuah yang berisi ikan.
gumbili nagara,ubi jalar nang berukuran besar dan berwarna putih,GAP,
nasi soto,"soto dengan nasi, tanpa ketupat",GAP,
tih manis,tih nang ditambahi gula,teh manis,teh yang di tambah gula biar manis
cacapan,"sambal, asinan",sambal; asinan,"Sesuatu sejenis sambal, asinan, yang manis, yang bisa di colek untuk makanan tertentu"
pundut nasi,pundut nasi adalah makanan tradisional matan kalimantan salatan diulah matan nasi nang dikukus wan dihidangkan lawan santan wan jua kuah habang pundut dalam bahasa banjar adalah bungkus karana makanan ini dibungkus badaun pisang pundut nasi kawa ditamui di pasar tradisional atawa di warung makan tradisional khas banjar,GAP,
rimpi,rimpi atawa nang labih dipinandui ulih urang luar kalmantan selatan sabagai pisang sale adalah makanan has aceh nang diulah matan buah pisang nang dibalah dua imbah tuh dijamur tujuan manjamur buah pisang ialah gasan mangurangi kadar banyu buah pisang jadi rimpi kawa talawas disimpani rimpi ini kawa langsung dimakan atawa disanga hulu lawan galapung,GAP,
pancuk,rujak buah-buahan,rujak,"makanan yg dibuat dr buah-buahan sering disertai sayuran yg diiris (ditumbuk dsb) kemudian diberi bumbu yg terdiri atas asam, gula, cabe, dsb banyak macamnya spt -- tumbuk; -- ulek"
apel habang,apel nang berwarna habang,apel merah,apel yang berwarna merah
aambai,"ngaran semacam tumbuhan merambat, buahnya enak sebagai asinan",GAP,
buka puasa,sabuting pajamuan makan wayah Muslim babuka puasa salawas bulan Ramadan,GAP,
persik,persik prunus persica adalah salah sebuting spesies prunus nang aslinya matan cina tanaman ini tamasuk janis mawar mawaran cabangnya banyak kambangnya habang anum daging buahnya kandal babiji tunggal monokotil,persik,"tanaman jenis mawar, bercabang banyak, berbunga merah jambu, buahnya berdaging tebal, berbiji tunggal, dan dapat dimakan (Prunus persica)"
cangkaruk,nama makanan matan ketan digoreng tanpa minyak ditumbuk dengan gula dan parutan nyiur,GAP,
ramen,masakan mi kuah Japang nang baasal matan Tiongkok,ramen,Makanan mie kuah jepang
cangkaruk,wadai khas banjar nang diulah matan baras lakatan nang disanga tapi kada baminyak imbah ngitu ditumbuk lawan gula wan paparutan nyiur,GAP,
pupuluran,makanan nang kaya wadai wan sawagainya nang dimakan antara wayah makan,GAP,
pabukaan,makanan nang buat buka puasa,GAP,
kuih seri muka,wadai has Banjar nang terbuat dari beras dan pandan,GAP,
kupuan,buah yang bentuknya mirip tarap tetapi kulit luar tidak berbulu dan daging lebih besar,GAP,
bubur gunting,"pangan nang diulah matan tepung sagu nang dipadatkan, digunting kecil-kecil membentuk jajaran genjang lalu direbus bersama santan dan gula merah menyerupai kolak",bubur gunting,"makanan yang dibuat dari campuran tepung beras dan air, dimasak hingga kental, kemudian dipotong-potong kecil seperti gunting"
petah arab,petah arab adalah makanan nang diulah matan daging masak karih lawan galapung gandum nang asalnya matan kampung arab di banjarmasin kalimantan selatan petah arab marupakan makanan nang dipangaruhi lawan budaya makanan urang arab sasuai ngarannya panyajian petah arab mahirip lawan dadar gulung tagal balainan mulai bahan sampai ka cara maulahnya,GAP,
gindalun,"sejenis buah berbentuk bulat lebih besar sedikit dari anggur merah yang bagian dalamnya berwarna putih, bila sudah tua bagian luarnya merah keunguan dan manis, bila masih muda bagian luarnya hijau muda dan sepat",GAP,
hintalu karuang,hintalu karuang adalah makanan has babantuk bubur matan kalimantan selatan amun dalam bahasa indunsia hintalu baarti telur amun karuang baarti ngaran burung nang hidup di hutan hutan kalimantan pambarian ngaran bubur ngini maraga rupa bubur nang bulat bulat kaya hintalu nang jadi ciri has matan bubur ngini,GAP,
tampuyak,tampuyak marupakan parian pamakan khas urang malayu di sumatra nang taulah matan prusis mamalamakan durian makanan ini rancak dimakani gasan cacapan bumbu panyadap hingga palangkap bahan masakan rasa tampuyak adalah masam yang disababkan oleh prosis fermintasi pada buah durian oleh baktiri asam laktat,tempoyak,makanan yang difermentasi dengan cara tertentu
haruan,iwak haruan malaysia ikan haruan indunisia betawi ikan gabus brunei lauk dalak adalah saikung iwak buas nang hidup di banyu tawar iwak ini dipinandui lawan barandak ngaran di macam macam dairah aruan haruan mly bjn kocolan btw bogo sd bayong bogo licingan bms kutuk jw dan lain lain dalam basa laut gin disambat lawan macam macam ngaran nangkaya common snakehead snakehead murrel chevron snakehead striped snakehead lawan gin aruan ngaran ilmiahnya adalah channa striata bloch 1793,ikan air tawar,"ikan yang sebagian atau seluruh hidupnya berada di ekosistem perairan tawar, terbagi menjadi tiga kelompok, primer (sama sekali tidak toleran terhadap air asin), sekunder (sedikit toleran terhadap air asin), dan periferal (sangat toleran terhadap air asin sehingga dapat bergerak jauh antara perairan laut dan tawar)"
kalinci,kalinci atawa nang dalam babarapa dialik basa banjar dikiau kucing arnab ngitu adalah binatang mamalia matan kulawarga leporidae bahari binatang ngini hidup di aprika sampai daratan irupa tahun 1912 kalinci dimasukakan ka dalam ordo lagomorpha ordo ini dibagi pulang dalam dua kulawarga famili ochtonidae janis pika nang pintar basiul lawan leporidae tamasuk di dalamnya ngitu janis kalinci lawan terwelu,kelinci,"hewan mamalia dari famili Leporidae, yang dapat ditemukan di banyak bagian bumi. Kelinci berkembang biak dengan cara beranak yang disebut vivipar. Dulunya, hewan ini adalah hewan liar yang hidup di Afrika hingga ke daratan Eropa."
hintalu paskah,hintalu paskah baasal matan taradisi kasuburan kaum indu irupa di mana hintalu adalah simbul musim sami wayah masa halam di pirsia urang rancak babagi hadiah hintalu pas wayah parayaan musim sami nang bagi bubuhannya jua manandaakan dimulainya tahun nang hanyar,GAP,
wajik anum,"wajik nang diulah matan baras ketan dan gula merah nang dimasak encer, biasanya untuk hidangan atau jamuan setelah selesai pembacaan doa arwah",wajik,"penganan yg dibuat dr campuran ketan, gula, dan kelapa"
lahung,sajanis durian tapi kulit luarnya bawarna habang wan baunya haruk,GAP,
amplang,"makanan semacam karupuk nang bentuknya seganal jari, dari iwak dan tapioka",amplang,Kerupuk dari ikan tenggiri
gadung,semacam tanaman dengan umbi nang beracun,gadung,"Gadung (Dioscorea hispida) adalah sejenis tumbuhan berumbi dari suku uwi-uwian (Dioscoreaceae) yang umumnya dipakai sebagai tanaman pangan. Gadung menghasilkan umbi yang dapat dimakan, tetapi mengandung racun yang dapat mengakibatkan pusing dan muntah apabila kurang benar pengolahannya."
iwak karing sapat,iwak sapat nang dikeringkan,GAP,
kakicak,kue khas masyarakat banjar kalimantan selatan wadai ngini dikatahui matan tampatnya yaitu bawarna hijau wan babantuk bulat baukuran halus kaya tutup botol bahan utamanya adalah tepung ketan nang maulah teksturnya licin salain itu wadai ini jua biasanya dimakan basamaan lawan hinti atawa kelapa parut nang dicampur gula merah salain matan tepung ketan ada jua panjual kue ini nang maulahnya matan ubi kayu,GAP,
gangan,sayuran yang dimasak,gangan,"Gangan adalah makanan khas yang bahan utamanya terbuat dari ikan yang berasal dari Pulau Belitong, Provinsi Bangka Belitung.[1] Gangan biasanya di olah dengan menggunakan bumbu seperti Cabe, Kunyit dan Kemiri yang kemudian bumbu-bumbu tersebut dihaluskan."
nasi karing,nasi kering,nasi karing,nasi kering
untuk,nama kuih semacam bakpao tapi digoreng,GAP,
ramban,sayur,GAP,
wadai lapis hula hula,wadai lapis khas Banjar nang banyak dijual waktu puasa,kue hula-hula,"hidangan berupa kue santan dua biasanya berlapis-lapis, berwarna hijau dan putih yang berasal dari Banjarmasin. Kue ini memiliki cita rasa manis dan lembut dan biasanya dijadikan takjil saat Ramadan."
masisin,"sejenis tanaman karamunting, tetapi kulit buahnya lebih halus dan berwarna ungu kehitaman dengan daging lebih empuk",GAP,
kamaboko,adalah sambatan gasan bamamacam makanan ulahan matan iwak nang dihalusakan dicitak di atas saputung kayu wan dimatangakan lawan cara dikukus hirisan kamaboko kawa langsung dimakan haja atawa dipakai jadi palangkap wan hiasan bamamacam makanan bakuah kaya ramen soba atawa udon,GAP,
talih ayam,"kantung andakan makanan di gulu ayam, nyaman dimasak macam sayur atawa karupuk",GAP,
coca cola,coca cola atawa coke adalah minuman basuda kola nang dijual di babagai restoran pancarekenan wan masin pangecer di labih matan 200 nagara minuman ngini diulah ulih the coca cola company coke adalah salah asa merek nang paling dipinandui wan paling lumbah penjualannya saingan utamanya adalah pepsi,coca cola,"Coca-Cola adalah minuman ringan berkarbonasi yang dijual di toko, restoran dan mesin penjual di lebih dari 200 negara."
gaguduh ayam,"makanan nang diulah matan ayam nang ditatak halus-halus, dilapisi galapung atawa adunan incir nang babumbu nang imbah ngitu disanga, disanga barandam, disanga di rinjing batakanan atawa disanga kada baminyak",ayam tepung,ayam yang dibaluri tepung lalu digoreng dengan minyak panas.
julung julung,sagarumbung iwak nang mahuni parmukaan (zona epipelagik) nang banyak tasabar di daerah nang banyunya langat kuku,GAP,
janar,sabuting tanaman rarampah wan tatamba asli matan wilayah asia tunggara tanaman ngini dudinya mangalami pasabaran ka banua indo malaysia indunisia australia wan jua aprika babaya saban urang indunisia india wan bangsa asia awamnya suah mamakan rarampah ngini gasan palangkap bumbu masakan jamu atawa gasan manjaga kawigasan wan kabungasan janar adalah rarampah nang rancak dipakai dalam masakan di nagara nagara asia,kunyit,"nama tumbuhan, umbinya kuning, untuk obat, rempah-rempah, dsb, Curcuma domestica"
alua kastela,alua matan buah kastela,GAP,
masakan aceh,masakan aceh adalah masakan urang aceh di sumatra indunisia masakan ngini banyak dipinandui urang di indunisia panjaja arab persia wan india umpat mampangaruhi makanan di aceh tagal rasa sudah maubah bantuk asalnya bumbu nang rancak ditambahi ka dalam masakan aceh rancak ditamui jua di masakan india wan arab kaya tipakan sahang katumbar janar cangkih kayu manis kardamum wan adas banyak makanan aceh nang dimasak duwa kari atawa santan nang biasanya gasan mamasak daging kaya hadangan daging sapi daging kambing daging biri biri iwak atawa ayam,GAP,
gangan hubi,sayur berkuah nang berbahan ubi-ubian,GAP,
banih,hasil padi nang belum dikiling,benih,benih bagian dari tanaman yang digunakan sebagai bibit untuk ditanam dan ditumbuhkan menjadi tanaman baru
putu,"nama kuih putu diulah matan tepung ketan, gula dan nyiur, terbungkus dengan daun pisang, dikukus",GAP,
hambawang,"sejenis kuini tetapi kulit buahnya berbercak kehitaman, aromanya tidak seharum kuini, dan getahnya dapat menyebabkan kulit melepuh",GAP,
dendeng itik,dendeng nang terbuat matan itik,dendeng itik,"Dendeng itik adalah makanan olahan khas Hulu Sungai Utara, Kalimantan Selatan, yang terbuat dari daging itik."
kukulan,nasi nang dikukus,GAP,
kacang putih,"kacang-kacangan yang dibudidayakan sebagai tanaman pangan, berbuah kecil-kecil, berwarna hitam atau kuning keputih-putihan",kacang putih,"kacang-kacangan yang dibudidayakan sebagai tanaman pangan, berbuah kecil-kecil, berwarna hitam atau kuning keputih-putihan"
patin baubar,patin segar yang dimasak dengan tungku yang berasal dari bara api tempurung kelapa,GAP,
limping,"makanan nang diulah matan galapung gandum, hintalu, uyah, lalu didadar",GAP,
hundang galah,hundang nang ganal dan panjang,udang galah,undang besar dan panjang
talam bawang,talam bawang adalah salah sabuting macam matan wadai talam wadai tradisiunal indunisia nang diulah matan bahan bahan nang kaya galapung gandum atawa galapung baras santan gula daun pudak wan bawang habang wadai ngini baisi lapisan bawah nang takaras wan lapisan atas nang pina talamah wan baluang luang halus ngaran talam bawang baasal matan bawang habang nang dipakai gasan bahan dalam adunannya,GAP,
nasi barakatan,nasi dan lauk matan selamatan,GAP,
rukam,"ngaran tanaman hutan nang baduri wan kawa ditamui di samunyaan wilayah di Indunisia mulai Sumatra, Maluku, Bangka Belitung lawan Kalimantan",GAP,
klepon martapura,klepon nang has martapura,klepon; kelepon,"kue yg dibuat dr tepung pulut yg dibulat-bulatkan, diisi gula merah, dan dilumuri kelapa parut"
jaruk ramania,asinan matan buah gandaria,asinan ramania,asinan yang terbuat dari buah ramania
dadar gunting,dadar gunting adalah kue khas masyarakat banjar kalimantan selatan hidangan ngini mahirip duwa panekuk tipis nang diulah matan adunan bahan dasar galapung baras atawa galapung gandum nang imbah ngitu diulahi lawan campuran parutan nyiur wan gula habang nang sudah dicairakan,dadar gunting,
bingka barandam,bingka barandam adalah wadai has di kalimantan selatan masi wadai ngini nyaman didapati di bulan ramadhan banyak urang yang bajual bingka barandam pas bulan ramadhan karana nyaman dimakan gasan buka puasa mun dijapai tekstur wadainya lamah uniknya wadai ngini dimakan pakai kuah pas banar wan ngarannya ada kata barandam kuah bingka barandam rasanya manis banar karana diulah dari banyu gula tapi wadainya hambar jadinya sasuai haja mun dimakan pakai kuah yang manis,GAP,
selada banjar,selada has Banjar,GAP,
wadai tiwadak,wadai tiwadak adalah wadai has matan kalimantan selatan asal muasal wadai ngini matan buah tiwadak nang kawa diulah wadai wadai tiwadak dingarani urang jua gaguduh tiwadak artinya buah tiwadak nang dipulun urang lawan gandum nang likat sadikit imbah dipulun lawan gandum langsung disanga di dalam rinjing gaguduh tiwadak rancak ditamuni di warung kupi rahatan musim tiwadak banyak babuah,GAP,
gangan katuyung,sayur berkuah santan yang berbahan katuyung,GAP,
palipisan,palipisan mangifera casturi adalah salah sabuting janis buah kasturi buah endemik nang baasal matan kalimantan buah palipisan mirip banar wan kasturi tapi paawakannya pina tapanjang palipisan babantuk elip panjangnya sakitar 6 6 3 cm wan libarnya 3 4 cm kulit buahnya bawarna habang panar wan kada bawarna hirang amunnya sudah masak daging buah bawarna jingga nyarak mangandung sarat wan kada babau harum kaya kasturi,GAP,
iwak pakasam,"makanan babahan dasar iwak nang dimasinkan malalui paroses param lawan uyah, Iwak nang diparam, dicampur lawan taburan baras katan nang sudah disanga, Iwak nang akan dijadiakan Pakasam kawa janis apa haja, Tagal nang paling diminati adalah Pakasam anakan iwak wan Pakasam Papuyu.",GAP,
karatau,karatau atawa murbei atawa kartau atawa mulberry adalah sabuting tanaman nang unik wan bakaraktaristik kaunikannya ngini kawa dilihati matan wujud buah wan warnanya tanaman karatau asalnya matan tiungkuk sabalah utara imbah ngitu banyak jua tumbuh di nagara nagara sakulilingnya karatau adalah tanaman nang kada ngalih baadaptasi jadi kawa dibudidayaakan di nagara nang baisi iklim trupis wan subtrupis tagal kada di tiungkuk haja atawa wilayah asia macam flora genus morus ada jua nang asalnya matan aprika wan amirika,karatau; murbei,"tumbuhan perdu, daunnya mirip daun kembang sepatu yg dapat dijadikan makanan ulat sutera, buahnya agak masam dapat dimakan atau dibuat bahan sirup"
lontong orari,lontong bentuk segitiga dengan kuah habang,lontong orari,"lontong dihidangkan dengan berbagai lauk seperti sate, kuah kari, atau gulai, dan memiliki tekstur yang lebih padat dan kenyal dibandingkan lontong biasa."
ilat sapi,ilat sapi adalah wadai tradisiunal nang bantukannya bapanjang nangkaya ilat lawan biasanya bakalir habang tuha wadai ngini ditamui di kalimantan selatan kalimantan tengah lawan kalimantan timur biasanya wadai ilat sapi disaji gasan kikimulan rahatan santai atawa papuluran rahatan nginum kupi duwa tih,ilat sapi,wadai tradisional yang berbentuk seperti lidah sapi
anaw,pohon janis palem umbut batangnya baisi sagu nang kawa dimakan ijuknya hagan hatap rumah wan sabagainya niranya disadap hagan diulah gula aren bagat kabung mergat,GAP,
kalawak,kalawak atawa kaluak ngaran lain kepayang kluwek kluak keluwek adalah tumbuhan babantuk puhun nang tumbuh liar atawa satangah liar,GAP,
jalawat,iwak jalawat,GAP,
maritam,"buah yang berukuran sebesar rambutan, kulit luar berduri tumpul seperti durian, kulitnya lebih tebal dari rambutan, kulit dan getahnya berwarna ungu kehitaman, daging putih, rasa manis, dan berbiji satu",GAP,
papalitan,sayur sayuran,GAP,
pitanak,"buah bentuk seperti kelengkeng, kulit wania ungu kehitaman, isi daging putih seperti kelengkeng",GAP,
lapat,"makanan matan baras nang dimasak setengah matang dengan santan lalu dibungkus daun pisang dan direbus lagi, dimakan dengan sambal kacang",lapat,makanan yang di rebus yang di masak hinggal menjadi kental di bungkus dengan daun pisang
tarung,"buah nang biasanya warna ungu, dimasak gangan atau mentah, Solanum melongena",terung,terong yang memiliki kulit ungu dan daging bewarna putih
satu,diulah matan tepung ketan nang disangrai,GAP,
wajik tuba,wajik nang diulah matan baras ketan dan gula merah nang dimasak lebih kental,GAP,
lempeng sagu,"makanan diulah matan nasi dan sagu dicampur air dan uyah lalu didadar, dimakan dengan gula pasir",GAP,
ayam cincane,ayam nang dibumbui cincane,GAP,
kacang jaruk,"kacang tanah nang disangrai dengan pasir dan uyah, hasilnya seperti kacang Bali",kacang jaruk,cemilan yang terbuat dari kacang tanah yang disangrai dengan pasir. Kacang jaruk saat ini menjadi makanan khas dari Hulu Sungai Tengah.
alua limau Bali,alua matan limau Bali,GAP,
pandan harum,pandan harum atawa biasa disambat daun pandan haja adalah sabuting tanaman monokotil matan kaluarga pandanaceae nang baisi daun babau harum daunnya marupakan bahan makanan nang panting dalam tradisi masakan indonesia wan nagara nagara asia tenggara lainnya,pandan,jenis tumbuhan monokotil dari famili Pandanaceae yang memiliki daun beraroma wangi yang khas. Daunnya merupakan komponen penting dalam tradisi masakan Indonesia dan negara-negara Asia Tenggara lainnya.
karawila,karawila luffa acutangula suku waluh waluhan atawa cucurbitaceae adalah komoditi sayuran minor penanamannya biasanya dilakukan di tungkaran atawa bagian ladang nang kada digunakan gasan tanaman nang lain karawila dipanen buahnya sawayah masih anum dan diulah sabagai sayur,GAP,
gangan balamak,sayur bersantan,GAP,
gangan gadang,"sayur yang terbuat dari bagian tengah batang pohon pisang, biasanya disuguhkan pada acara perkawinan Banjar",GAP,
