Lemma,Gloss,Persian lemmas (or gap),Persian Gloss
wolf,any of various predatory carnivorous canine mammals of North America and Eurasia that usually hunt in packs,گرگ,هریک از پستانداران گوشت‌خوار درنده سگ‌مانند که معمولا به‌صورت گله‌ای به شکار می‌پردازند
"design, pattern, figure",a decorative or artistic work,"طرح، الگو، نقش، شکل",یک اثر تزئینی یا هنری
blow,exhale hard,"دمیدن، فوت کردن",خارج کردن هوا در حالتی که دهان به مقدار کمی باز است
dark,(used of color) having a dark hue,تیره,دارای رنگ مخالف روشن
"wife, married woman",a married woman; a man's partner in marriage,"همسر، زن متاهل",یک زن متاهل; شریک زندگی یک مرد به واسطه ازدواج
"bring, convey, take",take something or somebody with oneself somewhere,gap,چیزی یا کسی را با خود به جایی بردن
blood,the fluid (red in vertebrates) that is pumped by the heart,خون,مایع‌ای که توسط قلب پمپ می‌شود (و در مهره‌داران قرمز است)
"wash, rinse",clean with some chemical process,"شستشو کردن، شستن، آب‌کشی کردن",پاک کردن با آب و پاکیزه کردن و رفع کثافت با آب
"iron, fe, atomic number 26",a heavy ductile magnetic metallic element; is silver-white in pure form but readily rusts; used in construction and tools and armament; plays a role in the transport of oxygen by the blood,"آهن، عدد اتمی ۲۶",یک عنصر فلزی مغناطیسی انعطاف پذیر سنگین که در حالت خالص رنگ نقره‌ای-سفید دارد اما در به سرعت و به راحتی زنگ می‌زند و قرمز می‌شود; در انتقال اکسیژن توسط خون نقش دارد; در ساخت و ساز ابزار و تسلیحات استفاده می‌شود
"blade, leaf blade",especially a leaf of grass or the broad portion of a leaf as distinct from the petiole,gap,لبه برگ
"part, portion",something less than the whole of a human artifact,"بخش، قطعه، جزء، قسمت",چیزی کمتر از کل یک چیزی که به وسیله انسان‌ها ساخته شده است
"act, behave, do",behave in a certain manner; show a certain behavior; conduct or comport oneself,رفتار کردن,به شیوه خاصی برخورد کردن
together,in contact with each other,"با هم، با همدیگر، با یکدیگر",انجام دادن کاری یا بودن بیش از یک نفر
"language, linguistic communication",a systematic means of communicating by the use of sounds or conventional symbols,زبان,وسیله‌ای سیستماتیک برای برقراری ارتباط با استفاده از صدا یا نمادهای از پیش تعیین شده
"topic, subject, issue, matter",some situation or event that is thought about,"موضوع، مبحث، بحث، مطلب، مسئله",یک موقعیت یا رویدادی که درباره آن فکر می‌شود
fox,alert carnivorous mammal with pointed muzzle and ears and a bushy tail; most are predators that do not hunt in packs,روباه,"پستاندار گوشت‌خوار که زرد، سیاه یا سرخ است و پوزه و گوش‌هایی نوک تیز و دمی بزرگ و پرمو و پرپشت دارد و شبیه سگ است و بسیار باهوش و چالاک است; معمولا شکارچیانی که به‌صورت منفرد به شکار می‌پردازند"
then,at that time,"آن موقع، در آن هنگام، در آن زمان",در یک زمان خاص که گوینده به آن اشاره می‌کند
"then, so, and so, and then",subsequently or soon afterward (often used as sentence connectors),"سپس، بعد از آن",متعاقبا یا سریع پس از آن (معمولا به عنوان رابط بین جملات به کار می‌رود)
circle,something approximating the shape of a circle,دایره,جیزی گرد که هر نقطه از ضلع و اضلاع آن با مرکز آن فاصله یکسانی دارد
"once, one time, in one case",on one occasion,"یک بار، یک دفعه",در یک دفعه
"tear, teardrop",a drop of the clear salty saline solution secreted by the lacrimal glands,اشک,یک قطره از محلول نمکی و شفافی که توسط غدد اشکی ترشج می‌شود
knit,make (textiles) by knitting,بافتن,تار و پود را در هم کردن برای ایجاد پارچه قالی فرش یا لباس یا غیره
hard,resisting weight or pressure,"سخت، سفت، زمخت",مقاوم دربرابر فشار یا سنگینی
"once, formerly, at one time, erstwhile, erst",at a previous time,"یک زمان، زمانی، در سابق",در یک زمانی در قدیم
rest,be at rest,استراحت کردن,آسایش و آسودگی
drive,"to compel or force or urge relentlessly or exert coercive pressure on, or motivate strongly",هدایت کردن,مجبور کردن یا مشتاق کردن یا اصرار بی وقفه یا اعمال فشار یا دادن انگیزه
word,a unit of language that native speakers can identify,"کلمه، واژه، لغت","واحدی از زبان که کسانی که به آن زبان تکلم می‌کنند می‌توانند آن را تشخیص دهند"""
"sleep, kip, slumber, log z's, catch some z's",be asleep,خوابیدن,به خواب رفتن و آرام گرفتن
"wide, broad",having great (or a certain) extent from one side to the other,"عریض، پهناور",دارای وسعت زیاد از یک طرف تا طرفی دیگر
truth,a fact that has been verified,"حقیقت، واقعیت",واقعیتی که تایید شده است
"cat, true cat",feline mammal usually having thick soft fur and no ability to roar: domestic cats; wildcats,گربه,"پستانداری که معمولا خز نرم و ضخیم دارد و نمی‌تواند غرش کند: گربه‌های خانگی، گربه‌های وحشی"
"firm, solid",not soft or yielding to pressure,"محکم، سفت، سخت",چیزی که نرم نیست و در برابر فشار تسلیم نمی‌شود و تغییر نمی‌کند
"gentle, soft",soft and mild; not harsh or stern or severe,gap,با نرمی و ملایمت; بدون خشونت یا سخت‌گیری یا شدت
narrow,not wide,"باریک، تنگ","مخالف عریض، مخالف گسترده، مخالف پهن و مخالف وسیع"
"birch, birch tree",any betulaceous tree or shrub of the genus Betula having a thin peeling bark,درخت توس,نوعی درخت یا درختچه دارای پوست نازک
"woman, adult female",an adult female person (as opposed to a man),زن,یک انسان مونث بالغ (متضاد مرد)
path,a way especially designed for a particular use,مسیر,راهی که به‌طور خاص برای استفاده خاصی طراحی شده است
clean,free from dirt or impurities; or having clean habits,"تمیز، پاک،‌ پاکیزه",بدون کثیفی; خاکی نبودن
soft,yielding readily to pressure or weight,"نرم، ملایم، لطیف، نازک",حساس دربرابر فشار و سنگینی
"fall asleep, dope off, flake out, drift off, nod off, drop off, doze off, drowse off",change from a waking to a sleeping state,"خوابیدن، به خواب رفتن، خوابش بردن",تغییر کردن از حالت بیداری به حالت خواب
"foe, enemy",a personal enemy,"دشمن، حریف",یک دشمن شخصی
swing,"move in a curve or arc, usually with the intent of hitting",gap,"حرکت دادن در یک حالت منحنی یا قوس‌دار، معمولا به قصد ضربه زدن"
"decorate, adorn, grace, ornament, embellish, beautify","make more attractive by adding ornament, colour, etc.","تزئین کردن، آراستن، زینت دادن، زینت بخشیدن","افزایش جذابیت و زیبایی با استفاده از افزودن زیورآلات، رنگ و غیره"
"awaken, wake, waken, rouse, wake up, arouse",cause to become awake or conscious,بیدار شدن,دلیل بیدار یا هوشیار شدن
"wake up, awake, arouse, awaken, wake, come alive, waken",stop sleeping,"بیدار شدن، بیداری",نخوابیدن
"silver, ag, atomic number 47",a soft white precious univalent metallic element having the highest electrical and thermal conductivity of any metal; occurs in argentite and in free form; used in coins and jewelry and tableware and photography,"نقره، عنصری با عدد اتمی ۴۷",یک عنصر فلزی گران‌بها و تک ظرفیتی و سفید و نرم که بالاترین رسانایی الکتریکی و حرارتی را نسبت به باقی فلزات دارد. در سکه و جواهرات و ظروف سفره و عکاسی استفاده می‌شود.
house,a dwelling that serves as living quarters for one or more families,"خانه، منزل",مکانی که محل زندگی یک یا چند خانواده است
"dirty, soiled, unclean",soiled or likely to soil with dirt or grime,"کثیف، ناپاک",کثیف شده یا خاکی شده
"flex, bend, deform, twist, turn",cause (a plastic object) to assume a crooked or angular form,"خم کردن، کج کردن",باعث کج یا زاویه‌دار کردن یک چیز
turn,cause to move around or rotate,"چرخاندن، گرداندن",باعث حرکت یا چرخش شدن
sand,a loose material consisting of grains of rock or coral,"شن، ریگ، ماسه",نوعی ماده سست متشکل از دانه‌های سنگ خورد شده
"foreman, chief, gaffer, honcho, boss",a person who exercises control over workers,"سرکارگر، رئیس",شخصی که بر کارگران کنترل و نظارت دارد
"chill, iciness, gelidity",coldness due to a cold environment,"سرما، یخ‌زدگی",سردی ناشی از محیط سرد
"vein, vena, venous blood vessel",a blood vessel that carries blood from the capillaries toward the heart,رگ,یک بخشی از بدن که خون را از مویرگ‌ها به سمت قلب می‌برد
"boast, tout, swash, shoot a line, brag, gas, blow, bluster, vaunt, gasconade",show off,"لاف زدن، به رخ کشیدن، مباهات نمودن، بالیدن، خودستایی کردن، رجز خواندن",خودنمایی کردن غیرواقعی
monkey,any of various long-tailed primates (excluding the prosimians),میمون,نوعی از پستانداران دم دراز که انواع متفاوتی دارند (به جز پیش‌میمون‌ها)
"tie, bind","fasten or secure with a rope, string, or cord",بستن,"محکم کردن یا وصل کردن به‌وسیله طناب، نخ یا ریسمان"
"thrust, stuff, shove, squeeze",press or force,"فرو کردن، فشردن، چلاندن، جا کردن",با فشار یا زور وارد کردن
"promise, assure",make a promise or commitment,"قول دادن، وعده دادن، عهد بستن، پیمان بستن، میثاق بستن، سوگند خوردن",قرار گذاشتن و متعهد شدن
"tie down, tie up, bind, truss",secure with or as if with ropes,"بستن، گره زدن",محکم کردن با طناب
bear,massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws,خرس,پستاندار گوشت‌خوار یا همه‌چیزخوار عظیم با پوست ضخیم کرک‌دار بلند و پنجه‌های قدرتمند
"luminosity, brightness, brightness level, luminance, luminousness, light",the quality of being luminous; emitting or reflecting light,"درخشش، درخشندگی، فروغ، روشنایی",میزان و کیفیت روشن بودن; ساطع کردن یا بازتاب دادن نور
spider,predatory arachnid that usually has silk-spinning organs at the back end of the body; they spin silk to make cocoons for eggs or traps for prey,عنکبوت,تننده‌ای شکارچی که معمولا اندام‌های ساخت ابریشم در انتهای پشت بدن خود دارد و با چرخاندن ابریشم پیله‌ای برای تخم‌های خود و یا تله برای طعمه ایجاد می‌کند
"fill, fill up, make full","make full, also in a metaphorical sense",پر کردن,کامل کردن چه به معنای فیزیکی چه به معنای استعاری
"grief, sorrow",something that causes great unhappiness,"اندوه، غم، غصه، حزن، سوگ، تاثر",چیزی که باعث ناراحتی زیادی می‌شود
"idea, thought",the content of cognition; the main thing you are thinking about,"ایده، فکر",محتوای ادراک; موضوع اصلی‌ای که به آن فکر می‌کنید
"state, province",the territory occupied by one of the constituent administrative districts of a nation,"ایالت، استان",منطقه‌ای که از لحاظ اداری مشخص شده و یکی از مناطق تشکیل دهنده یک ملت است
"blanket, cover",bedding that keeps a person warm in bed,پتو,ملافه‌ای که باعث گرم ماندن انسان در رختخواب می‌شود
"laugh, express joy, express mirth",produce laughter,"خندیدن، ابراز شادی کردن",خنده کردن
"willow, willow tree",any of numerous deciduous trees and shrubs of the genus Salix,"بید، درخت بید",نوعی درخت است که انواع بسیار دارد مانند سفید و زرد و دارای ماده سالی سین است که در مداوای درد مفاصل موثر است و ضد تب می‌باشد و این درخت بار نمی‌آورد
"succeed, win, come through, bring home the bacon, deliver the goods",attain success or reach a desired goal,"موفق شدن، کامیاب شدن، پیروز شدن، برنده شدن",رسیدن به هدف دلخواه یا موقعیت یا شرایطی خوب
"adept, expert, good, practiced, proficient, skillful, skilful",having or showing knowledge and skill and aptitude,"ماهر، زبردست، متخصص، خبره، با تجربه، مسلط، چیره",دارا یا نشان دهنده دانش و مهارت و استعداد
corner,the point where three areas or surfaces meet or intersect,"گوشه، کنج",نقطه‌ای که سه ناحیه یا سطح به هم می‌رسند یا با هم برخورد یا تلاقی می‌کنند
blunt,used of a knife or other blade; not sharp,کند,برای چاقو یا باقی تیغه‌ها به کار می‌رود; مخالف تیز
"kind, sort, form, variety",a category of things distinguished by some common characteristic or quality,"نوع، گونه، جنس، جور، فرم",دسته‌ای از چیزها که ویژگی‌ها یا کیفیت‌های مشترک متمایزی دارند
sharp,having or made by a thin edge or sharp point; suitable for cutting or piercing,تیز,دارای یک لبه نازک; مناسب بریدن یا سوراخ کردن
"botch, bodge, bumble, fumble, botch up, muff, blow, flub, screw up, ball up, spoil, muck up, bungle, fluff, bollix, bollix up, bollocks, bollocks up, bobble, mishandle, louse up, foul up, mess up, fuck up","make a mess of, destroy or ruin","خراب کردن، گند زدن، از شکل انداختن، از بین بردن، به هم ریختن، داغون کردن، نابود کردن",افتضاح کردن یا از کار انداختن
bathe,cleanse the entire body,"حمام کردن، استحمام کردن",تمیز کردن و شستن تمام بدن
"wash, lave",cleanse (one's body) with soap and water,gap,شستن بدن با صابون و آب
friend,a person you know well and regard with affection and trust,دوست,شخصی که به خوبی می‌شناسید و به او اعتماد دارید و محبت می‌کنید
"rush, hasten, hurry, look sharp, festinate",act or move at high speed,"عجله کردن، شتافتن",رفتار کردن یا حرت کردن با سرعت زیاد
"idol, graven image, god",a material effigy that is worshipped,"بت، خدا، معبود",یک چیز مادی که مورد پرستش قرار می‌گیرد
tip,the extreme end of something; especially something pointed,"نوک، سر، راس",انتهایی ترین بخش یک چیز; خصوصا چیزی نوک‌تیز
weight,the vertical force exerted by a mass as a result of gravity,وزن,نیروی عمودی که توسط جرم و به دلیل گرانش ایجاد می‌شود
hay,grass mowed and cured for use as fodder,یونجه,چمنی که کنده شده و مناسب استفاده به عنوان علوفه شده است
"join, bring together",cause to become joined or linked,"پیوند دادن، متصل کردن",باعث وصل شدن و یا مرتبط شدن
"try, seek, attempt, essay, assay",make an effort or attempt,"سعی کردن، تلاش کردن، کوشیدن، تقلا کردن",قصد انجام کاری را کردن
town,an urban area with a fixed boundary that is smaller than a city,"شهرستان، شهرک",یک منطقه شهری با مرز‌های ثابت که کوچک‌تر از شهر است
"comb, comb out, disentangle",smoothen and neaten with or as with a comb,شانه کردن,صاف و مرتب کردن با استفاده از شانه
spade,a sturdy hand shovel that can be pushed into the earth with the foot,"بیل، پارو،‌ بیلچه",ابزار دستی‌ای برای بلند کردن مواد ریز و کوچک; یک وسیله مانند ظرف یا قاشق
ask,address a question to and expect an answer from,"پرسیدن، پرسش کردن",اشاره کردن به یک سوال و انتظار داشتن یک جواب از دیگران
"feel, sense","perceive by a physical sensation, e.g., coming from the skin or muscles","احساس کردن، حس کردن",درک کردن با یک احساس فیزیکی مثلا از طریق پوست یا ماهیچه‌ها
strength,the property of being physically or mentally strong,"قدرت، توانایی، نیرو",قوی بودن از لحاظ جسمانی یا ذهنی
"village, hamlet",a settlement smaller than a town,"روستا، ده",یک اجتماع کوچکتر از یک شهرستان
hear,receive a communication from someone,gap,دریافت خبر از کسی یا ارتباط گرفتن با کسی
stupid,lacking or marked by lack of intellectual acuity,"احمق، خنگ، کند ذهن، نفهم، سبکسر، خیره سر",انسانی بی عقل و نادان و ناهوشیار
boat,a small vessel for travel on water,قایق,کشتی کوچک پارویی یا موتوری که جهت سفر از راه آب استفاده می‌شود
"cut off, chop off, lop off",remove by or as if by cutting,"قطع کردن، بریدن",جدا کردن و حذف کردن با برش
far,at a great distance in time or space or degree,دور,در یک فاصله زیاد از لحاظ زمانی یا مکانی یا درجه‌ای
"pipe, tube",a hollow cylindrical shape,لوله,یک شکل استوانه‌ای توخالی
"longing, yearning, hungriness",prolonged unfulfilled desire or need,"اشتیاق، عطش، میل",خواسته یا نیاز برآورده نشده
smooth,having a surface free from roughness or bumps or ridges or irregularities,"صاف، نرم",عاری کردن سطح از زبری یا برجستگی‌ها و فرو رفتگی‌ها
bark,tough protective covering of the woody stems and roots of trees and other woody plants,gap,پوشش محافظی محکم برای ساقه‌ها و ریشه‌های چوبی درختان و باقی گیاهان چوبی
"near, close, nigh",not far distant in time or space or degree or circumstances,نزدیک,دور نبودن از لحاظ زمانی یا مکانی یا درجه‌ای یا شرایط
branch,"a division of a stem, or secondary stem arising from the main stem of a plant",شاخه,تقسیم شدن یک ساقه به چند بخش یا یک ساقه ثانویه که از ساقه اصلی درخت ایجاد می‌شود
"rear, raise, bring up, nurture, parent",bring up,"بزرگ کردن، پروراندن",حمایت کردن از دوران خردسالی و نوزادی تا بلوغ
"periphery, fringe, outer boundary",the outside boundary or surface of something,"حاشیه، پیرامون، لبه",مرز یا سطح بیرونی چیزی
"branchlet, twig, sprig",a small branch or division of a branch (especially a terminal division); usually applied to branches of the current or preceding year,gap,
"voice, vocalization, vocalisation, vocalism, phonation, vox",the sound made by the vibration of vocal folds modified by the resonance of the vocal tract,"صدا، صوت، بانگ",صوتی که با ارتعاش تارهای صوتی و توسط رزونانس مجرای صوتی ایجاد شده است
"dress, clothe, enclothe, garb, raiment, tog, garment, habilitate, fit out, apparel",provide with clothes or put clothes on,"لباس پوشاندن، پوشاک فراهم کردن",تهیه کردن یا پوشاندن لباس
"charcoal, wood coal",a carbonaceous material obtained by heating wood or other organic matter in the absence of air,زغال,ماده‌ای کربن‌دار که به وسیله گرم کردن چوب یا باقی مواد آلی در غیاب هوا به دست می‌آید
"chicken, gallus gallus",a domestic fowl bred for flesh or eggs; believed to have been developed from the red jungle fowl,مرغ,پرنده‌ای اهلی که برای استفاده از گوشت یا تخم‌هایش (تخم مرغ) پرورش داده می‌شود
"notice, mark, note",notice or perceive,gap,
"trunk, tree trunk, bole",the main stem of a tree; usually covered with bark; the bole is usually the part that is commercially useful for lumber,تنه درخت,ساقه اصلی درخت که معمولا با پوست پوشیده می‌شود; بخشی که معمولا از نظر تجاری به عنوان چوب استفاده می‌شود
"cock, rooster",adult male chicken,خروس,مرغ بالغ نر
"salt, table salt, common salt",white crystalline form of especially sodium chloride used to season and preserve food,"نمک، نمک طعام",کریستال سفیدی که معمولا سدیم کلرید است و برای طعم دادن و نگهداری غذا استفاده می‌شود
"wear, put on, get into, don, assume",put clothing on one's body,"پوشیدن، بر تن کردن",در داخل لباس رفتن و بر خود گذاشتن لباس
"doll, dolly",a small replica of a person; used as a toy,عروسک,یک کپی کوچک از یک انسان; به عنوان اسباب‌بازی استفاده می‌شود
take off,remove clothes,درآوردن,از لباس درآمدن و از خود جدا کردن لباس (متضاد پوشیدن)
"murmur, mutter, grumble, croak, gnarl",make complaining remarks or noises under one's breath,"غرولند کردن، غر غر کردن",زیر لب صداهای شکایت آمیز درآورن
wing,a movable organ for flying (one of a pair),بال,یک اندام قابل حرکت جهت پرواز (معمولا دوتا از آن در یک موجود وجود دارد)
"bite, sting, burn",cause a sharp or stinging pain or discomfort,"سوزاند، گزید، نیش زد",باعث یک درد یا ناراحتی شدید شدن
"scrape, grate",scratch repeatedly,"خراشیدن، خراش دادن",خاراندن به‌صورت مکرر
"dance, trip the light fantastic, trip the light fantastic toe",move in a pattern; usually to musical accompaniment; do or perform a dance,رقصیدن,حرکت در یک الگو; معمولا به همراه موسیقی; انجام یا اجرای یک رقص
"dig, delve, cut into, turn over","turn up, loosen, or remove earth","حفر کردن، کندن، حفاری کردن",سوراخ کردن (معمولا زمین)
"ache, smart, hurt",be the source of pain,"درد کردن، تیر کشیدن",منشا درد بودن
heavy,of comparatively great physical weight or density,سنگین,دارای وزن یا چگالی فیزیکی نسبتا بالا
space,an empty area (usually bounded in some way between things),"فضا، فضای خالی",یک مکان خالی (معمولا بین چند چیز قرار دارد)
"exclaim, cry, cry out, outcry, call out, shout","utter aloud; often with surprise, horror, or joy","فریاد زدن،‌ داد زدن","با صدای بلند ابراز تعجب، شادی یا وحشت کردن"
"battle, conflict, fight, engagement",a hostile meeting of opposing military forces in the course of a war,"نبرد، جنگ، مبارزه، پیکار",رویارویی خصمانه نیروهای نظامی مخالف با یکدیگر
"picture, image, icon, ikon",a visual representation (of an object or scene or person or abstraction) produced on a surface,"عکس، تصویر",یک نمایش بصری (از یک شی یا صحنه یا شخص یا مفهوم) که بر روی یک سطح ایجاد شده است
"smoke, smoking",a hot vapor containing fine particles of carbon being produced by combustion,دود کردن,بخار داغ دارای ذره‌ایی از کربن که در اثر احتراق ایجاد می‌شود
smell,inhale the odor of; perceive by the olfactory sense,"بوییدن، بو کردن، بوکشی، استشمام کردن",تنفس کردن بوی چیزی; درک کردن با استفاده از حس بویایی
"rescue, deliver",free from harm or evil,"نجات دادن، رهایی دادن، رهانیدن، خلاص کردن، فارغ کردن",آزاد نمودن از آسیب یا شر یا اتفاقی بد
claw,sharp curved horny process on the toe of a bird or some mammals or reptiles,"پنجه، چنگال، چنگ، ناخن",منحنی تیز و از جنس استخوانی که بر روی انگشتان یک پرنده یا برخی پستانداران یا خزندگان وجود دارد
boot,footwear that covers the whole foot and lower leg,"چکمه، پوتین",کفشی که حداقل تا قوزک پا را کاملا می‌پوشاند
fish,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills,ماهی,نوعی از مهره‌داران آبزی که عمدتا خونسرد هستند و معمولا پولک دارند و با آبشش تنفس می‌کنند.
tail,the posterior part of the body of a vertebrate especially when elongated and extending beyond the trunk or main part of the body,دم,قسمتی در پشت بدن مهره‌داران خصوصا در حالتی که فراتز از تنه و قسمت اصلی بدن گسترش یافته باشد
"complete, finish",come or bring to a finish or an end,"کامل کردن، تمام کردن، تکمیل کردن، خاتمه دادن،‌به سر انجام رساندن، به انتها رساندن، به پایان رساندن",چیزی را به آخر خود رساندن
so,"in such a condition or manner, especially as expressed or implied","اینگونه، به گونه‌ای، چنان، چنین","در یک شرایط یا شیوه خاص، به ویژه آن‌طور که در جمله گفته شده است"
look,"try to locate or discover, or try to establish the existence of","جست‌وجو کردن، کاوش کردن، گشتن، در جست‌وجو بودن، دنبال چیزی گشتن",در تلاش برای کشف یا موقعیت‌یابی
"lie, prevarication",a statement that deviates from or perverts the truth,"دروغ، کذب، خلاف",سخن ناراست که حقیقت ندارد
see,perceive by sight or have the power to perceive by sight,دیدن,درک با استفاده از بینایی یا داشتن قدرت درک با استفاده از بینایی
spoon,a piece of cutlery with a shallow bowl-shaped container and a handle; used to stir or serve or take up food,قاشق,ابزاری برای خوردن غذا یا هم زدن که معمولا در دست راست نگه می‌دارند
"bare, au naturel, naked, nude",completely unclothed,"برهنه، لخت، عریان",کاملا بدون لباس
look,perceive with attention; direct one's gaze towards,gap,درک کردن با استفاده از توجه; هدایت کردن نگاه خود به سمتی خاص
"obstruct, blockade, block, hinder, stymie, stymy, embarrass",hinder or prevent the progress or accomplishment of,"مانع شدن، مسدود کردن، راه را بستن",جلوگیری از پیش بردن یا انجام یک کار
"violence, force",an act of aggression (as one against a person who resists),"خشونت، زور",عملی پرخاشگرانه (به شکل اقدام علیه شخصی که مقاومت می‌کند)
"reason, ground",a rational motive for a belief or action,"دلیل، منطق، استدلال",انگیزه عقلانی برای اعتقادات یا یک عمل
"freeze, frost",weather cold enough to cause freezing,gap,هوایی که به اندازه‌ای سرد است که باعث یخ زدگی شود
pillow,a cushion to support the head of a sleeping person,بالش,کوسن و پشتی ای که برای خوابیدن سر را بر روی آن تکیه‌ می‌دهند
"look, appear, seem",give a certain impression or have a certain outward aspect,"به نظر آمدن، انگار، به نظر می‌رسد","از نظر ظاهری، حالت یا شکل خاصی داشتن"
sound,give off a certain sound or sounds,صدا دادن,منتشر کردن صدا یا صداهایی خاص
"indicate, point, show","indicate a place, direction, person, or thing; either spatially or figuratively","نشان دادن، اشاره کردن","مکان، جهت، شخص یا چیزی را مشخص کردن برای دیگری; چه به صورت فیزیکی چه به صورت گفتاری یا نوشتاری یا آدرس‌دهی"
bow,curved piece of resilient wood with taut cord to propel arrows,کمان,قطعه منحنی‌ای از جنس چوبی انعطاف‌پذیر که طناب محکمی به آن بسته شده و برای پرتاب تیر به کار می‌رود
"cry, weep","shed tears because of sadness, rage, or pain","گریه کردن، ضجه زدن، گریستن، اشک ریختن","درآمدن اشک از چشم‌ها به دلیل ناراحتی، غم،‌ عصبانیت یا درد"
"war, warfare",the waging of armed conflict against an enemy,جنگ,درگیری مسلحانه علیه دشمن
"at a time, at once, at one time",simultaneously,"همزمان، یکجا",در یک زمان
kill,"cause the death of, without intention","کشتن، به قتل رساندن",باعث مرگ شدن
"convey, impart","make known; pass on, of information","افشاء کردن، ابلاغ کردن",منتشر کردن و عمومی کردن اطلاعات
"show, show up",be or become visible or noticeable,"نمایان شدن، مشخص شدن",قابل مشاهده و توجه شدن
box,a (usually rectangular) container; may have a lid,جعبه,یک نگه‌دارنده (معمولا مستطیل شکل); ممکن است یک درب داشته باشد
sing,produce tones with the voice,"خواندن، آواز خواندن",تولید آهنگ با استفاده از صدا
work,activity directed toward making or doing something,کار,فعالیتی برای ساختن یا انجام چیزی
"sew, run up, sew together, stitch",fasten by sewing; do needlework,"دوختن، بخیه زدن",بستن با دوخت; سوزن دوزی کردن
"company, companionship, fellowship, society",the state of being with someone,"همراهی، مصاحبت، معاشرت",حالت با کسی بودن و با کسی وقت گذراندن
conversation,the use of speech for informal exchange of views or ideas or information etc.,"مکالمه، صحبت، گفت و گو، محاوره، گفت و شنید",استفاده از گفتار جهت تبادل غیررسمی دیدگاه‌ها یا ایده‌ها یا اطلاعات و غیره.
"grandfather, gramps, granddad, grandad, granddaddy, grandpa",the father of your father or mother,پدربزرگ,پدر مادر یا پدر پدر
"grandma, grandmother, granny, grannie, gran",the mother of your father or mother,"مادربزرگ، ننه بزرگ",مادر پدر یا مادر مادر
"hide, conceal",prevent from being seen or discovered,"مخفی کردن، پنهان کردن، پوشاندن، قایم کردن",جلوگیری از دیده شدن یا کشف شدن
staff,a strong rod or stick with a specialized utilitarian purpose,gap,
"tire, wear upon, tire out, wear, weary, jade, wear out, outwear, wear down, fag out, fag, fatigue",exhaust or get tired through overuse or great strain or stress,"خسته شدن، از پا در آمدن",در اثر فعالیت یا استرس بیش از حد بی انرژی شدن
"glue, paste",join or attach with or as if with glue,چسباندن,با چسب یا با چیزی دیگر به هم متصل کردن یا پیوند زدن
"alone, solo, unaccompanied",without anybody else,"تنها، تکی",بدون شخصی دیگر
cover,provide with a covering or cause to be covered,"پوشاندن، در بر گرفتن",پوشش یک چیز یا پوشش آن به وسیله چیزی دیگر
"deceive, lead on, delude, cozen",be false to; be dishonest with,"فریب دادن، گول زدن، فریفتن، اغفال کردن",دروغ گفتن یا ناصادق بودن
ail,"be unwell, ill, or ill disposed","بیمار شدن، پریشان شدن، آزرده شدن","ناخوش، مریض یا بدحال بودن"
"bay, embayment",an indentation of a shoreline larger than a cove but smaller than a gulf,gap,یک فرورفتگی خط ساحلی کوچک‌تر از خلیج
watch,look attentively,"تماشا کن، دقت کن، نگاه کن",با دقت نگاه کردن
fog,droplets of water vapor suspended in the air near the ground,مه,قطرات بخار آب معلق در هوا در نزدیکی زمین
all,quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class,"همه، تمام، کل","کلمه‌ای برای کمیت سنجی; برای چیزهای گسسته و پیوسته برای نشان دادن تعداد یا مقدار کامل یا همه چیز از یک گروه خاص"""
"guest, invitee",a visitor to whom hospitality is extended,مهمان,بازدید کننده‌ای که از او پذیرایی می‌شود
"brain, encephalon",that part of the central nervous system that includes all the higher nervous centers; enclosed within the skull; continuous with the spinal cord,"مغز، مخ",ماده نرمی که در کاسه سر یا میان استخوان است و بخشی از سیستم عصبی است و شامل تمام مراکز عصبی عالی است و با نخاع پیوسته است
"puzzle, puzzler, mystifier, teaser",a particularly baffling problem that is said to have a correct solution,معما,مسائلی گیج کننده که گفته شده راه حل صحیحی برایشان وجود دارد
"count, number, enumerate, numerate",determine the number or amount of,"شمردن، شمارش کردن، حساب کردن",تعیین کردن تعداد یا مقدار چیزی
fault,responsibility for a bad situation or event,تقصیر,مسئولیت یک موقعیت یا رویداد بد
"sicken, come down",get sick,"مریض شدن، بیمار شدن، ناخوش شدن",از حالت سلامتی درآمدن
long,for an extended time or at a distant time,"مدت طولانی، خیلی وقت، طول، مدت",برای مدتی طولانی یا در زمانی دور (چه آینده چه نزدیک)
"egg, eggs",oval reproductive body of a fowl (especially a hen) used as food,"تخم، تخم مرغ",چیزی بیضی‌شکل که از بدن پرندگان (به ویژه مرغ) جهت تولید مثل خارج می‌شود و انسان‌ها از آن به عنوان غذا استفاده می‌کنند
count,the total number counted,شمارش,تعداد کل آن‌چه شمرده شده
"bridge, span",a structure that allows people or vehicles to cross an obstacle such as a river or canal or railway etc.,پل,سازه‌ای که به افراد یا وسایل نقلیه اجازه می‌دهد از مانعی ماننده رودخانه یا کانال یا راه آهن یا جاده یا... عبور کنند
"flash, blink, wink, twinkle, winkle",gleam or glow intermittently,"چشمک زدن، درخشیدن، برق زدن",روشنایی یا درخشیدن به طور متناوب
