Indonesian Lemma,Indonesian Definition,Banjarese Lemma,Banjarese Definition
sambal bajak,"sambal yang dibuat dr cabai, bawang merah, kemiri, garam, terasi diberi santan, direbus hingga air santannya menguap habis",GAP,
jamur,"jenis tumbuhan yang tidak berdaun dan tidak berbuah, berkembang biak dengan spora, biasanya berbentuk payung, tumbuh di daerah berair atau lembap atau batang busuk; cendawan; kulat",kulat,ada beraneka jenis nya dan berbentuk payung
kacang polong,"tumbuhan kacang-kacangan suku Papilionaceae, tumbuh di daerah pegunungan dengan ketinggian 700 m di atas permukaan laut (Pisum sativum) ",kacang polong,"kacang kecil dan bulat yang biasanya berwarna hijau, sering digunakan dalam berbagai masakan dan memiliki rasa yang manis dan sedikit gurih. Kacang ini diambil dari tanaman polong yang sering dipanen ketika masih muda"
martabak,"nama makanan asal India, terbuat di tepung (untuk lapisan luar) dan campuran telur, daging digiling atau dicincang bumbu (untuk bagian isi), bentuknya tipis segi empat, digoreng",martabak,semacam roti atawa wadai lémpéng besanga
penyedap,bumbu yang membuat atau menimbulkan rasa sedap,GAP,
stroberi,"tanaman rendah, daunnya lebar, bertangkai panjang dan berbulu kasar, buahnya berwarna merah, berbiji lembut dan rasanya manis, biasa dibuat selai; arbei (Fragaria vesca)",GAP,
roti hitam,roti yg dibuat dr sebangsa gandum dan bahan lain yg lebih murah dp tepung terigu,GAP,
peterseli,"terna yang tingginya mencapai 1 m, berdaun hijau bergerombol, berbunga majemuk seperti payung, berwarna kuning atau hijau, dapat dimanfaatkan sebagai garnis (Petroselinum crispum)",GAP,
daging giling,daging yang dihaluskan untuk bahan sosis atau untuk bahan makanan yang lain,GAP,
mokacino,"kapucino yang diberi tambahan cokelat (bubuk, sirup, dan sebagainya)",mokacino,"kupi nang menggabungkan rasa kupi dengan cokelat dan susu, biasanya disajikan dengan busa susu di atasnya"
bolu koja,"bolu yang terbuat dari adonan sagu, tepung terigu, agar-agar bubuk, telur, gula pasir, diselingi santan, dan dicampur perasan air daun pandan",GAP,
parfe,kustar yang berisi krim kocok dan sirop beku yang dibuat tanpa diaduk,GAP,
lalap,"ulam; daun-daun muda (mentimun, petai mentah, dsb) yg dimakan bersamasama dng sambal dan nasi",lalap,"Makanan pendamping nang biasanya terdiri dari sayuran mentah atau sedikit direbus, seperti timun, selada, atau kemangi, yang disajikan bersama hidangan utama seperti nasi atau lauk-pauk"
es teler,"minuman dari serutan es yang dicampur dengan pacar cina, tapai, cincau hitam, avokad, nangka, kelapa muda, susu, dan sirop gula pasir",GAP,
kecap ikan,"kecap yang dihasilkan dari fermentasi ikan, berasa asin",GAP,
daging mentah,daging yang belum dimasak,GAP,
es saguer,minuman dingin terbuat dari campuran saguer dan buah durian,GAP,
susu segar,susu murni hasil pemerahan; susu yang masih dalam keadaan segar dan tidak mengalami pemrosesan,GAP,
jamur maitake,"jamur konsumsi berbentuk jengger ayam, berwarna kecokelatan, bermanfaat untuk membersihkan sistem tubuh, dan menemukan sel-sel abnormal yang dapat berakibat rusak dengan sendiri (Grifola frondosa)",GAP,
makanan sehat,"pangan alamiah, tidak mengandung bahan tambahan, dan baik untuk kesehatan",makanan sihat,makanan nang alami kada tacampur bahan nang kada bagus gasan kasihatan
sengarat,"ikan air tawar, biasa terdapat di rawa-rawa",sengarat,iwak banyu tawar nang bawarna putih
gado-gado,"makanan yg terdiri atas sayur-sayuran, kentang, tempe, tahu, telur rebus, dan lain-lain dng diberi bumbu sambal kacang",GAP,
gandum,tumbuhan spt padi yg hidup di daerah beriklim dingin yg menghasilkan terigu; Trificum sativum,GAP,
pala kirna,tanaman tumpang sari berupa buah-buahan yang berasal dari tanaman keras yang hidupnya lama,GAP,
telur Paskah,"telur yang dilukis dengan beragam warna, sering kali juga diberi hiasan, dibuat saat perayaan Paskah",GAP,
gula derawa,air gula,banyu gula,banyu nang terdiri dari banyu dan gula
andrawina,perjamuan makan resmi; bangket,GAP,
mukibat,"nama jenis ketela pohon, hasil penyilangan ketela hutan (liar), umbinya besar-besar, ditemukan oleh orang yg bernama Mukibat",GAP,
kara,"tumbuhan berbuah polongan, pohonnya merambat, buahnya sepanjang ÔøΩÔøΩ5-7 cm, lebar dan kurang berdaging, kalau sudah tua berwarna hijau keputih-putihan, Dolichos l",GAP,
pisang manila,"pisang yang berasal dari Filipina, termasuk suku Musaceae, berbatang semu, daunnya berbentuk lanset, berwarna hijau, berbuah jorong, berkulit tebal, tidak dapat dimakan, batangnya mengandung serat yang dapat digunakan sebagai tali (Musa textilis)",pisang manila,"pisang yang dikenal dengan ukurannya yang sedang, kulitnya tabal nang kuning cerah, dan dagingnya yang manis serta lembut"
makanan sisa,"makanan yang tidak habis dimakan, biasanya disimpan untuk dimakan lain kali",GAP,
tumisan,hasil menumis,tumisan,masakan nang terdiri dari sayuran atau daging nang di masak
minuman ringan,"minuman yang tidak mengandung alkohol, misalnya teh botol, teh kotak, gula asam",GAP,
nasi ulam,nasi putih dng lauk lalap mentah dan bumbu (sambal),GAP,
bubur lambuk,"bubur dengan rempah dan santan, biasa dimakan oleh orang yang sakit atau untuk berbuka puasa",GAP,
bubur,"makanan lembek dan berair yg dibuat dr beras, kacang-kacangan, dsb yg direbus",bubur,"makanan lembek dan berair yg dibuat dr beras, kacang-kacangan, dsb yg direbus"
ayam kretep,"masakan khas Madura yang terbuat dari ayam yang direbus dengan bumbu halus (bawang merah, bawang putih, jahe, kunyit, kemiri, ketumbar, dan sebagainya) dan air asam jawa hingga air menyusut, kemudian ayam diangkat dan digoreng, setelah itu dicampurkan kembali dengan sisa bumbu rebusan",GAP,
satai,"irisan daging kecil-kecil yg ditusuk dan dipanggang, diberi bumbu kacang atau kecap",sate,"pamakanan nang diulah matan hirisan daging nang ditatak halus-halus, dan dicucuki lawan cucuk sate nang biasanya diulah matan batang paring atawa bilah lidi, limbahitu dibanam lawan bara harang kayu"
jamur enoki,"jamur konsumsi menyerupai batang asparagus, berwarna putih bersih, bertekstur lembut, dapat ditumis dan dimasak sebagai campuran sayuran (Flammulina velutipes)",GAP,
santapan,makanan (minuman dsb),GAP,
bir pletok,"minuman tanpa alkohol yang dibuat dari rebusan gula, jahe, daun pandan, serai, dan rempah-rempah lain, disaring lalu didiamkan semalaman, biasanya disajikan dingin",GAP,
cokelat susu,"cokelat yang terbuat dari campuran cokelat, mentega, dan susu bubuk, biasanya dapat dimakan langsung",GAP,
serundeng,"lauk (masakan) yg dibuat dr kelapa yg dikukur (diparut), diberi bumbu, dan disangrai hingga kering berwarna cokelat",serondeng,makanan yang terbuat dari kelapa parut yang digoreng bersama rempah-rempah dan bumbu-bumbu hingga kering dan berwarna kecoklatan
tempe benguk,tempe yang dibuat dari biji kara benguk yang sebetulnya beracun,GAP,
alkohol gula,alkohol yang dihasilkan dari gula,GAP,
beras kepala,beras yang terbaik (utuh-utuh),baras kepala,baras nang tekstur lebih keras
harisah,nama bubur yg dicampur dng lauk-pauk (untuk selamatan pd tanggal 10 bulan Muharam),GAP,
roti manis,roti yg berasa manis,ruti manis,"roti yang memiliki rasa manis, biasanya karena ditambahkan gula atau bahan pemanis"
es krim vanila,es krim dengan rasa vanila,es krim vanila,es nang rasa vanila
sirop,"air gula agak kental, terkadang diberi esens dan diwarnai; setrup",sirop,"cairan manis yang biasanya terbuat dari campuran gula dan air, sering kali diberi rasa atau aroma tambahan seperti buah-buahan"
arak,"minuman keras, biasanya dibuat dari beras yang difermentasikan",tuak,minuman nang dapat memaukan
buah kering,buah yang dikeringkan,GAP,
lodeh,"nama sayur yg diberi santan, cabai, dsb",lodeh,"hidangan khas Indonesia, nang berbentuk sayur campur dengan kuah santan yang kental"
gulai,"sayur berkuah (biasanya dng ikan, daging kambing, daging sapi dsb)",GAP,
sunti,"tanaman umbi-umbian yg dapat dibuat obat atau rempah-rempah, dsb",GAP,
senduduk,"perdu, tumbuh di tempat yg mendapat cukup sinar matahari, bercabang banyak, daun berwarna hijau lonjong berujung lancip, bunganya berwarna ungu kemerahan, buah yg masak berwarna ungu tua dan dapat dimakan; Melastoma malabathricum",GAP,
besusu,"umbi yg boleh dimakan, dagingnya putih, kaku, manis, dan banyak mengandung air; bengkuang, Pechyrrhizus erosus",GAP,
tumu,"pohon, kayunya berwarna merah, berat, dan padat, Bruguiera eriopetala",GAP,
tempura,makanan yang terbuat dari sayuran atau boga bahari yang bersalut adonan tipis dan digoreng,GAP,
daging cincang,daging yang dipotong-potong sangat kecil dan halus,daging cincang,daging nang telah dicincang
ikan bawal hitam,"bawal laut yang panjangnya mencapai 75 cm, bersisik tebal pada pangkal ekor, sirip perut tidak ada pada spesimen berukuran lebih dari 10 cm, bagian depan sirip punggung memiliki 5 atau 6 duri sangat pendek yang tidak terlihat pada ikan dewasa, berwarna keperakan abu-abu sampai kecokelatan, hidup di dasar bersubstrat lunak dengan kedalaman 15-40 m, tersebar di perairan Indo-Pasifik Barat (Parastromateu",GAP,
kelor,"tumbuhan yg daunnya dapat dibuat sayur, bunganya berwarna putih, dan akarnya dapat dijadikan obat",GAP,
sambal matah,"sambal khas Pulau Bali, terbuat dari campuran terasi, garam, gula, cabai rawit, bawang merah, serai, dan daun jeruk yang diiris mentah kemudian disiram minyak kelapa panas",GAP,
brokoli,"sayuran, berdaun besar, berwarna hijau, gagang mendaging, memanjang, dan bercabang-cabang (Brassica oleracea var. italica)",GAP,
nan,"roti pipih beragi yang terbuat dari tepung gandum, permukaannya ditaburi wijen atau jintan hitam, dibumbui dengan bawang dan berbagai rempah, makanan yang populer di beberapa negara Asia",GAP,
bagel,"roti mirip donat yang tekstur bagian dalamnya lebih keras, biasa disantap dengan cara dibelah lalu diolesi krim keju",GAP,
selayur,"ikan laut yg bentuk tubuhnya pipih dan panjang, hidup di dasar perairan tropis; Trichiurus lepturus",GAP,
selai kacang,selai yang terbuat dari kacang,salai kacang,makanan yang terbuat dari kacang yang dimasak dengan gula hingga mengental
ketoprak,"makanan (khas Jakarta) terdiri dr tahu goreng, kerupuk, dan taoge yg dibubuhi bumbu yg berkecap",ketoprak,"Ketuprak terdiri dari ketupat nasi nang dikukus dalam daun kelapa, tahu, tempe, dan lontong, yang disajikan dengan bumbu kacang"
jeruk jari buddha,"jeruk yang rasanya pahit getir, berkulit tebal dan berbenjol-benjol yang benjolannya tersusun rapi menyerupai bentuk jari tangan yang sedang setengah menggenggam; jeruk kuku macan (Citrus medica)",GAP,
bubur manggul,bubur dari beras khas Madura dengan tambahan serundeng,GAP,
rempah-rempah,macam-macam rempah,rarampah,"bahan alami dari tumbuhan yang digunakan untuk memberikan rasa, aroma, dan warna pada masakan"
sirih,"tumbuhan merambat di pohon lain, daunnya berasa agak pedas, biasa dikunyah bersama dng pinang, kapur, gambir sbg makanan yg mencandu, penguat gigi, dsb; Piper betle",sirih,"daun sebagai bahan untuk membuat betel quid, yang dikunyah bersama kapur sirih dan pinang"
beras bertih,beras yang digoreng tidak dengan minyak,GAP,
soto sulung,soto yang berkuah santan dan berisi jeroan,soto sulung,"soto nang biasanya berisi daging sapi, jeroan, dan disajikan dengan kuah kaldu yang kaya rempah. Soto ini memiliki cita rasa yang gurih dan sedikit pedas, dan sering disajikan dengan nasi, kerupuk, dan sambal sebagai pelengkap."
bayam,"nama kelompok sayuran daun, bentuk daunnya bulat telur dengan ujung meruncing dan urat-urat yang jelas, bunganya berbentuk malai yang tegak (banyak macamnya, ada yang dibuat sayur, ada yang untuk obat) (Amaranthus)",bayam,"Sayur Nang daunnya lebar, biasa gasan sayur bening"
arem-arem,"lontong bersantan, berisi daging cincang dll, dan di bungkus dng daun pisang",arem-arem,lemper/lontong dari kalimantan
kari,sayur gulai yg diberi kunyit sehingga kuning warnanya,karih,sayur nang bawarna kuning
gula vanila,"gula beraroma dan bercita rasa harum, dibuat dengan cara memendam biji-biji vanila dalam gula pasir yang disimpan dalam wadah kedap udara selama seminggu",GAP,
tenggiri,"ikan yg hidup di air laut, bentuknya panjang dan langsing, punggungnya kehitam-hitaman dan perutnya bersinar keperak-perakan, Scomberomorus commerson;",tenggiri,"iwak nang hidup di laut, awaknya panjang"
kopi tubruk,minuman kopi yg dibuat dng cara bubuk kopi yg bercampur gula dituangi air panas,GAP,
gula kawung,gula dari nira enau,gula habang,"sagala macam gula nang diulah matan nira, yaitu cairan nang dikaluarakan matan tumat kambang puhun matan kulawarga palma, nangkaya nyiur, hanaw, wan siwalan"
pasta roti untir,pasta yang dibuat dari adonan kentang,GAP,
kacang kaji,"tumbuhan memanjat, digunakan sebagai pupuk hijau, buahnya berbentuk polong, bijinya digunakan sebagai obat berbagai penyakit dada (Canavalia ensiformis) atau (C. gladiata) ",GAP,
jus tomat,sari buah tomat,jus tomat,"jus nang terbuat matan tumat minuman yang dihaluskan, biasanya dicampur dengan air dan pemanis"
kue lumpur,"kue basah berbentuk bulat pipih dengan tekstur kenyal dan licin, terbuat dari tepung terigu, telur, santan, dan kentang",wadai lumpur,"kue tradisional nang berbahan dasar tepung terigu, kentang, santan, telur, dan gula. Kue ini biasanya dimasak dalam cetakan kecil hingga teksturnya lembut dan empuk"
genjer,"tumbuhan yg tumbuh di rawa, daunnya spt daun talas, dan enak dimakan, charis flava",GAP,
ubi,"umbi atau akar yg membesar dr tumbuhan yg menjalar atau pohon yg menjadi besar dan berdaging (mengandung zat tepung), pd umumnya dapat dimakan",gumbili,"umbi-umbian nang bewarna kuning, putih, atau ungu, dan biasanya dimasak dengan cara direbus, digoreng, atau dipanggang"
susyi,"makanan khas Jepang dengan dua bahan utama, yaitu nasi yang dicampur cuka dan makanan laut seperti udang, kepiting, dan ikan",GAP,
beligo,"tanaman menjalar, buahnya besar berbentuk lonjong, biasa dibuat sayur atau manisan tangkue; beligu (Benincasa hispida)",GAP,
bolu kukus,bolu yang diolah dengan cara dikukus,bolu kukus,wadai tradisiunal Indunisia nang disajiakan nangkaya wadai cangkir atawa mahirip duwa wadai baulu nang disumap
daging unggas,daging dari unggas,daging unggas,daging dari hewan unggas
kentang tumbuk,"hidangan terbuat dari kentang rebus, ditumbuk hingga lembut, biasanya ditambahkan mentega dan susu untuk memperkaya rasa",GAP,
jeruk kunci,"jeruk yang ukurannya kecil seperti buah lengkeng atau jeruk purut, rasanya lebih asam dibandingkan dengan jeruk-jeruk lain, banyak ditemukan di daerah Sumatra",GAP,
kue sengkulun,kue basah yang dibuat dari tepung ketan campur gula merah dan ditaburi kelapa parut ketika akan dimakan,GAP,
kustar,"saus yang terbuat dari campuran susu, krim, dan kuning telur, biasa disajikan sebagai saus puding, bahan dasar makanan, atau hidangan penutup",GAP,
delima,"pohon buah-buahan yg rendah, berasal dr Turki, Punica granatum",delima,"Buah delima, biasa gasan mulah sirup"
hati,daging dr hati sbg bahan makanan (terutama hati dr binatang sembelihan),GAP,
alai,"nama pohon, buahnya spt petai besar; kedaung, Parkia roxburfhii",GAP,
ayam gulaian,daging ayam yang digulai,GAP,
sambal roa,"sambal khas Manado yang terbuat dari bawang merah, cabai, garam, tomat, dan ikan roa",GAP,
tahu bulat,"tahu putih yang dicampur dengan puder kue dan telur, dibentuk bulat, dan digoreng rendam, dapat disajikan dengan bubuk cabai atau bubuk halus penyedap lain",tahu bulat,tahu yang dibentuk bulat dan digoreng hingga kering dan renyah
kue bulan,"penganan tradisional khas Tionghoa, bentuknya bulat, teksturnya lembut, rasanya aneka macam",GAP,
tahu kok,tahu goreng yang berisi adonan ikan dan biasanya dimasak kuah bersama daging lain,GAP,
bolu kemojo,"bolu khas Riau yang dibuat dari adonan bolu dicampur santan, dicetak dengan cetakan berbentuk bunga kamboja, dan dipanggang dengan oven",GAP,
mendoan,"tempe yang dipotong tipis lebar, dicelupkan ke dalam adonan tepung berbumbu, kemudian digoreng setengah matang",GAP,
perkedel tahu,"perkedel yg dibuat dr tahu sbg pengganti kentang, diberi bumbu serta dimasak, sama spt perkedel",GAP,
pempek adaan,pempek yang bentuknya bulat kecil,GAP,
gula kelapa,gula dari nira nyiur atau aren,GAP,
telur asin,telur itik (kadang-kadang telur ayam) yang diasinkan,hintalu masin; hintalu jaruk,"intalu nang diasinakan, rancak intalu itik"
ikan air tawar,"ikan yang sebagian atau seluruh hidupnya berada di ekosistem perairan tawar, terbagi menjadi tiga kelompok, primer (sama sekali tidak toleran terhadap air asin), sekunder (sedikit toleran terhadap air asin), dan periferal (sangat toleran terhadap air asin sehingga dapat bergerak jauh antara perairan laut dan tawar)",GAP,
nabu,"biji buah (durian, nangka, cempedak) dng dagingnya",GAP,
gocujang,"pasta cabai yang terbuat dari bubuk cabai, tepung beras ketan, tepung kedelai yang difermentasi, dan garam yang biasa digunakan sebagai bumbu dalam masakan Korea",GAP,
teh hutan,"tanaman perdu yang tajuknya rapat, padat, dan kuat, biasanya dipakai sebagai pagar atau tanaman hias dengan membentuknya menjadi pola-pola tertentu, daunnya dapat dimanfaatkan sebagai obat penurun panas, penyakit usus, dan gangguan ginjal; teh-tehan (Acalyoha siamensis)",GAP,
kue cubit,"kue basah berbentuk kecil dengan beragam rasa yang dibuat dari adonan tepung terigu, telur, gula dan lain-lain, diberi taburan meses atau keju parut, dan dimasak menggunakan cetakan khusus",GAP,
kecap manis,"kecap yang teksturnya kental, warnanya hitam, dan rasanya manis",kicap manis,Kicap barasa manis
ikan kembung,"ikan laut, panjang mencapai 35 cm, umur mencapai 4 tahun, hidup di perairan tropis dengan kedalaman 20-90 m, tersebar di perairan Indo-Pasifik Barat (Laut Merah dan Afrika Timur sampai Indonesia, utara sampai Kepulauan Ryukyu dan Cina, Australia Selatan, Melanesia da",GAP,
kepiting,"ketam berkaki sepuluh yg hidup di pantai, Scylla serrata",kapiting,binatang nang hidup dipantai atawa pinggir sungai nang baisi dalapan batis wan dua sapit ukurannya ada nang ganal ada jua nang halus biasanya dimakan jadi iwak
es buah tap,"minuman terbuat dari campuran kolang-kaling, ditambah sirop ros, dibubuhi es",GAP,
abon,"makanan yg dibuat dr daging sapi, ayam, ikan yg direbus, lalu dicabik-cabik menurut seratnya, diberi bumbu kemudian digoreng",GAP,
bubur sumsum,bubur dr tepung beras,GAP,
susu skim,cairan susu yang telah dipisahkan dari kepala susu sehingga kadar lemak dan vitaminnya rendah,GAP,
naco,"penganan khas Meksiko berupa keripik tortila, biasa disajikan dengan taburan keju leleh, potongan cabai, dan sebagainya",GAP,
sambal kosek,"sambal yang dibuat dari cabai rawit merah, bawang merah, dan bawang putih yang diulek kasar, diberi garam, merica, gula, dan sedikit terasi, kemudian disiram dengan minyak goreng panas",GAP,
pisang cokelat,"penganan yang terbuat dari irisan pisang yang diberi cokelat (dapat berupa meses cokelat, cokelat cair, dan sebagainya), dibungkus kulit lumpia, lalu digoreng",GAP,
kacang parang,"tumbuhan memanjat, digunakan sebagai pupuk hijau, buahnya berbentuk polong, bijinya digunakan sebagai obat berbagai penyakit dada (Canavalia ensiformis) atau (C. gladiata) ",GAP,
tahu campur,"makanan yang terbuat dari tahu goreng, sayuran, mi, kikil yang berbumbu petis dan berkuah",tahu campur,"tahu nang di campur terdiri dari potongan tahu goreng yang disajikan dengan campuran bahan-bahan seperti lontong, mie, sayuran segar, lentho, dan daging sapi"
ginseng,"tumbuhan yg berasal dr Asia Timur dijadikan ramuan obat-obatan dan berkhasiat membangkitkan nafsu syahwat, Pandare Aralia ginseng",GAP,
kepah,"kerang laut kecil dagingnya biasa dikeringkan untuk dimakan, bermacam-macam jenisnya",kepah,kerang nang memiliki cangkang keras dan biasanya ditemukan di perairan. Kepah sering dimasak dan dijadikan hidangan laut yang lezat
susu steril,susu yang diproses dengan memanaskannya pada temperatur tinggi dalam waktu yang sangat singkat,GAP,
bakso telur,bakso berukuran besar berisi telur rebus,bakso hintalu,Bakso yang berukuran besar berisi hintalu yang direbus
tortelini,"pasta berbentuk seperti cincin, pusar, atau mangkuk dengan bagian tengah yang menggembung, biasanya berisi campuran daging atau keju dan disajikan dengan kaldu",GAP,
kerupuk,"makanan dibuat dr tepung dicampur dng lumatan udang atau ikan, setelah dikukus, disayat-sayat dan dijemur kemudian digoreng",karupuk,"Diulah dari galapung, dijarang, habis itu dijamur sampai karing limbahnya digoreng"
jagung terubuk,jagung muda,jagung terubuk,"jagung nang telah digiling atau dihaluskan, biasanya menjadi bentuk bubuk atau serbuk"
kue cincin,"penganan tradisional Sunda yang terbuat dari tepung beras, santan, dan gula merah dibentuk menyerupai cincin",wadai cincin,wadai trandisional becampur gula habang diulah babantuk cincin
ikan kakap,"ikan laut yang sering memasuki perairan tawar, ukurannya dapat mencapai 200 cm, tubuhnya pipih memanjang, bersisik, warnanya keperakan, tersebar di daerah Indo-Pasifik (Lates calcarifer)",GAP,
kerupuk rambak,kerupuk dr irisan kulit sapi atau kerbau,GAP,
spagetini,"mi yang bentuknya lebih tipis daripada spageti, tetapi lebih tebal daripada vermiseli",GAP,
bir,minuman yg mengandung alkohol yg dibuat dng peragian lambat dan dapat memabukkan,GAP,
susu formula ekstensif hidrolisat,susu formula dengan bahan dasar protein hidrosilat dengan fragmen untuk mencegah terjadinya alerg,GAP,
bawang prei,"bawang yang daunnya pejal dan lebar, banyak digunakan dalam berbagai masakan (Allium ampeloprasum)",bawang prei,Daun bawang gasan menambah rasa di sayur sop
misoa,"bahan makanan yg terbuat dr tepung beras, spt bihun, tetapi lebih halus",GAP,
kacang botol,"kacang oven yang dimasukkan ke dalam botol, oleh-oleh khas dari Kepulauan Kei, Maluku",kacang botol,kacang oleh-oleh khas maluku
kacang kidang,"kacang tanah yang polongnya berlekuk, berurat kasar, berpelatuk jelas, dan warna kulit bijinya merah",GAP,
garang,hasil menggarang,GAP,
pala kependem,"tanaman tumpang sari yang buahnya berada di dalam tanah (seperti singkong, kentang)",GAP,
jamur nasi,nama cendawan yang dapat dimakan (Hydnum fragile),GAP,
sup,"masakan berkuah dr kaldu yg diberi bumbu pala, lada, dsb, ada berbagai macam",sup,masakan berkuah
nori,"ganggang laut berwarna keunguunguan yg berubah menjadi hitam ketika kering, biasanya dijual dl bentuk lembaran tipis, menjadi bahan makanan Jepang",GAP,
cokelat kovertur,"cokelat dengan kandungan lemak cokelat yang tinggi, digunakan sebagai pelapis makanan",GAP,
beras-beras,"ikan tawar, hidup di perairan tropis di perairan Asia (Semenanjung Malaya, Sumatra, Kalimantan, dan Jawa); Barbichthys laevis",GAP,
bubuk kari,bubuk yang digunakan untuk memasak kari,GAP,
fetucini,pasta yang berbentuk batangan tipis dan agak lebar seperti pita,GAP,
bubur kampiun,"bubur khas Minang yang terbuat dari campuran bubur candil, sumsum, ketan hitam, dan ditambah kolak pisang",GAP,
roti lapis,"dua atau lebih irisan roti yang diisi berbagai bahan pelengkap seperti sayuran, telur, irisan daging, dan saus",ruti lapis,"makanan yang terdiri dari dua potong roti yang diisi dengan berbagai bahan seperti daging, keju, sayuran, dan saus, lalu dipanggang atau disajikan langsung"
cabai rawit,"cabai yang buahnya kecil dan pedas; lada burung, lada cili; lada padi; cili padi (Capsicum frutescens)",lombok parawit,ngaran buah wan tumbuhan anggota genus Capsicum
gula barbados,gula tebu yang berwarna cokelat,GAP,
kopi andelan,"tumbuhan yg bijinya boleh dipakai sbg ganti kopi, cassia acciden tails",GAP,
marmelade,"buah-buahan yang disetup dengan gula (dan bumbu) dan dalam keadaan masih panas dimasukkan ke dalam wadah gelas, buah-buahan sedapat mungkin masih berbentuk dan belum sampai hancur",GAP,
ikan bawal tambak,"ikan air tawar yang ukurannya dapat mencapai 108 cm, tubuhnya pipih memanjang, giginya mengarah ke depan, warnanya perak kehitaman dengan warna kemerahan pada bagian dada, tersebar di perairan Amerika Selatan (Sungai Amazon dan Orinoko) (Colossoma macropomum) ",GAP,
mentimun,"nama buah dr tumbuhan menjalar, kulitnya lunak berwarna hijau, kuning, atau coklat, dagingnya lunak mengandung air, dipakai untuk membuat acar dsb, Cucumis sativus",mentimun,"buah atau sayur nang bawarna hijau, mengandung banyu"
keluak,"buah pohon kepayang, bijinya yg sudah tua berwarna hitam, biasa dipakai untuk bumbu, Pangium edule",GAP,
ketupat sumpil,ketupat berbentuk segitiga khas Kendal yang dibungkus dengan daun bambu dan disajikan dengan sambal kelapa,GAP,
kue cangkir,"kue berukuran kecil yang dibuat dari adonan terigu, telur, gula, dan sebagainya yang dicetak dalam cetakan atau kertas menyerupai cangkir dengan pinggiran berlipat-lipat, dapat diberikan berbagai pugasan, perasa, atau pewarna",GAP,
ikan kerapu,"ikan laut, bersisik, siripnya diperkuat dengan jari-jari lunak dan berduri, sirip perutnya terletak agak ke depan dan di bawah dada (ada yang beracun), hidup di daerah terumbu karang tropis dengan kedalaman 1-300 m tersebar di daerah Indo",GAP,
kaldu,air (kuah) daging yg direbus,GAP,
es selendang mayang,"minuman khas Betawi, terbuat dari campuran tepung sagu aren, tepung beras, daun pandan, adonannya dicetak dalam loyang, disajikan dengan cara disendoki tipis-tipis, ditaruh dalam gelas dan disiram dengan santan dan air gula, diminum dengan es",GAP,
beras,padi yang telah terkelupas kulitnya (yang menjadi nasi setelah ditanak),baras,hagian bulir banih gabah nang sudah dipisah matan sekam sekam jawa merang sacara anatumi disambat hagian nang ditutupi dan hagian nang manutupi
es kopi,kopi yang diberi es,es kupi,es di tambahi kupi
kuah,"air gulai (sayur, daging, dsb) yg biasa dimakan bersama dng nasi",kuah,"air gulai (sayur, daging, dsb) yg biasa dimakan bersama dng nasi"
tempe sagu,"keripik yang dibuat dari kedelai, sagu, dan ragi yang difermentasi menjadi tempe, diiris tipis, dicelupkan dalam bumbu garam dan kaldu lalu digoreng, berekstur renyah dan memiliki rasa asin gurih",GAP,
keria,"kue yg dibuat dr adonan kentang, tepung, dan gula",GAP,
ikan beronang,"ikan yang hidup di ekosistem laut dan payau, ukurannya dapat mencapai 45 cm, tubuhnya pipih memanjang, moncong pendek membulat, sebuah duri kait di depan sirip punggung menghadap ke depan, warnanya bervariasi, tersebar di daerah Indo-Pasifik Barat",GAP,
kopi pahit,air kopi yg tidak dibubuhi gula,kupi pahit,Kupi likat hirang pahit jua rasanya
diet,aturan makanan khusus untuk kesehatan dsb (biasanya atas petunjuk dokter),GAP,
nasi lengat,nasi tim,GAP,
betutu,"daging ayam yg masih utuh, tetapi sudah diambil tulang-tulangnya",GAP,
mentega,"lemak kental, lunak, terbuat dr susu (biasa dipakai untuk membuat kue, memasak, atau untuk kelengkapan makan roti)",mantiga,produk turunan susu nang diulah lawan cara mengocok krim atawa susu
tapai uli,tapai (ketan) yg biasanya dimakan dng uli,tapai uli,"tapai nang di olah dari ketan dengan ragi, sehingga menjadi rasa asam-asam manis"
kue,"penganan yg bahannya dr bermacam-macam adonan, dibuat dan dibentuk dng berbagai-bagai cara, macamnya banyak sekali",wadai,"makanan ulam nang lain pada nasi, rajin rasanya banyak macamnya, ada nang manis wan ada jua nang masin"
beras cerah,beras yang sudah dibersihkan hingga hilang selaput bijinya,GAP,
siwalan,"pohon lontar, buahnya berkulit keras, berwarna hijau tua, daging buahnya lunak kenyal, berwarna putih bening, air buahnya manis dan dapat dibuat tuak; Borassus flabellifer",GAP,
beras setengah tanak,"beras giling yang setelah penggilingan direndam dalam air, dikukus, kemudian dikeringkan untuk ditanak kembali",GAP,
es lilin,"es yang bentuknya menyerupai lilin, terbuat dari santan, tepung, es, gula, dan lain-lain, bertekstur lembut dan memiliki beragam varian rasa, disajikan dengan diberi gagang pada ujung es",es lilin,"es nang bebentuk lilin, beisi banyu (air) nang dibari macam-macam rasa bisa jua dicampur lawan santan"
leci,nama buah (spt buah lengkeng) berasal dr negeri Cina; laici,leci,buah dengan kulit merah dengan isi warna putih
beras cokelat,"beras yang hanya dihilangkan sekamnya, tetapi tidak disosoh, bertekstur kasar setelah dimasak dan memiliki kandungan serat tinggi",GAP,
