Lemma,Gloss,Banjarese lemmas (or gap),Banjarese Gloss
monkey,any of various long-tailed primates (excluding the prosimians),warik,hiwan (primata) nang baisi buntut panjang
bear,massive plantigrade carnivorous or omnivorous mammals with long shaggy coats and strong claws,biruang,"hiwan ganal pamakan daging, babulu labat wan baisi cakar ganal"
"luminosity, brightness, brightness level, luminance, luminousness, light",the quality of being luminous; emitting or reflecting light,tarang/katarangan/kacarahan,kualitas cahaya nang dipancarakan
spider,predatory arachnid that usually has silk-spinning organs at the back end of the body; they spin silk to make cocoons for eggs or traps for prey,kabibitak,hiwan nang bisa mamintal banang gasan maulah kapumpung manaruh intalu atawa jabakan gasan mangsanya.
"grief, sorrow",something that causes great unhappiness,kasadihan/sadih,sasuatu nang maulah sadih
"idea, thought",the content of cognition; the main thing you are thinking about,"pandapat, pamikiran",inti dari pamikiran
"state, province",the territory occupied by one of the constituent administrative districts of a nation,parupinsi,wilayah nang ditampati ulih salah satu bagian administratif nagara
"blanket, cover",bedding that keeps a person warm in bed,salimut,banda gasan maulah awak hangat
"willow, willow tree",any of numerous deciduous trees and shrubs of the genus Salix,puhun dedalu,salah satu janis puhun wan samak paluruh dari genus salix
corner,the point where three areas or surfaces meet or intersect,buncu,hujung tampat atau banda
"kind, sort, form, variety",a category of things distinguished by some common characteristic or quality,"janis, macam, bantuk",macam atau janis banda
friend,a person you know well and regard with affection and trust,kawan,urang nang dikanal/patuh banar
"idol, graven image, god",a material effigy that is worshipped,dewa,
tip,the extreme end of something; especially something pointed,hujung,hujung dari banda nang runcing
weight,the vertical force exerted by a mass as a result of gravity,barat,gaya nang dibari massa akibat gravitasi
hay,grass mowed and cured for use as fodder,rumput karing,rumput gasan pakan sapi
town,an urban area with a fixed boundary that is smaller than a city,kuta,pamukiman nang tahalus pada kota
spade,a sturdy hand shovel that can be pushed into the earth with the foot,sekup,sekup nang kawa ditikin ka tanah pakai batis
strength,the property of being physically or mentally strong,tanaga,sifat tahan awak lawan batin
"village, hamlet",a settlement smaller than a town,kampung,pamukiman nang tahalus pada kuta
boat,a small vessel for travel on water,jukung,kapal halus 
"pipe, tube",a hollow cylindrical shape,tipa,bentuk bulat nang belubang
"longing, yearning, hungriness",prolonged unfulfilled desire or need,dandaman,kainginan mulai lawas
bark,tough protective covering of the woody stems and roots of trees and other woody plants,kulipak kayu,kulipak nang manutupi batang wan akar puhun
branch,"a division of a stem, or secondary stem arising from the main stem of a plant",dahan,dahan nang kaluar dari batang utama
"periphery, fringe, outer boundary",the outside boundary or surface of something,halat,pambatas antara sasuatu
"branchlet, twig, sprig",a small branch or division of a branch (especially a terminal division); usually applied to branches of the current or preceding year, cangking,ranting pehalusnya
"voice, vocalization, vocalisation, vocalism, phonation, vox",the sound made by the vibration of vocal folds modified by the resonance of the vocal tract,baalun,suara nang dialunakan
"charcoal, wood coal",a carbonaceous material obtained by heating wood or other organic matter in the absence of air,"harang, harang kayu",bahan bakar matan kayu nang tabakar
"chicken, gallus gallus",a domestic fowl bred for flesh or eggs; believed to have been developed from the red jungle fowl,hayam bangkok,hayam kampung nang kawa dimakan daging wan hintalunya
"trunk, tree trunk, bole",the main stem of a tree; usually covered with bark; the bole is usually the part that is commercially useful for lumber,"rapun, rapun puhun",batang nang ditutupi kulipak kayu nang kawa dijual
"cock, rooster",adult male chicken,hayam jagaw,hayam jantan nang paharatnya
"salt, table salt, common salt",white crystalline form of especially sodium chloride used to season and preserve food,"uyah, uyah padu",uyah panambah rasa makanan
"doll, dolly",a small replica of a person; used as a toy,aanakan,mainan nang babantuk manusia atawa binatang
wing,a movable organ for flying (one of a pair),alar ,organ nang kawa digarak akan gasan tarabang (salah sabuting matan sapasang) 
space,an empty area (usually bounded in some way between things),paledangan ,daerah nang kadeda (rancak dihalangi lawan sabuah cara di sala banda-banda)
"battle, conflict, fight, engagement",a hostile meeting of opposing military forces in the course of a war,bahual ,bedapatan lawan musuh antara kakuasaan militer nang belawanan di sabuah bahualan
"picture, image, icon, ikon",a visual representation (of an object or scene or person or abstraction) produced on a surface,gambar,gambar (dari sabuah barang atawa papandangan atawa urang atawa hal nang abstrak) nang diulah di atas sabuah bidang
"smoke, smoking",a hot vapor containing fine particles of carbon being produced by combustion,"palak, baruku",kukus panas mambarangat nang baisi habu-habu halus dari kulihan banamannya 
claw,sharp curved horny process on the toe of a bird or some mammals or reptiles,kakurut,proses parusu mambingkar runcing di ujung batis burung atawa sawatara mamalia atawa reptil
boot,footwear that covers the whole foot and lower leg,bot,alas batis nang manutupi sakulilingan batis wan tungkai bawah
fish,any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills,iwak,salah satu dari babatangan badarah banyu dingin nang biasanya baisi sisik wan bahinak malalui insang
tail,the posterior part of the body of a vertebrate especially when elongated and extending beyond the trunk or main part of the body,buntut,"bagian buntut awak makhluk babatangan, biasanya pas mambujur lawan maulah labih panjang daripada batang atawa bagian awaknya nang badahulu"
"lie, prevarication",a statement that deviates from or perverts the truth,pengeramput,pambuatan nang batampik lawan manyimpang dari atawa maulah baputarbalik kebujuran 
spoon,a piece of cutlery with a shallow bowl-shaped container and a handle; used to stir or serve or take up food,sasudu,paralatan makan nang babantuk mangkuk dangkal lawan gagang atawa ingkutan; digunaakan gasan maaduk atawa manyajian atawa maambil makanan
"violence, force",an act of aggression (as one against a person who resists),"tapaksa, karas",parbuatan kasar (kaya nang digawi lawan urang nang melawan
"reason, ground",a rational motive for a belief or action,sabab,sabab nang jalas nang mamadahi kapacayaan atawa parbuatan
"freeze, frost",weather cold enough to cause freezing,"baku, mambaku",cuaca nang pina dingin banar ngini maulah baku
pillow,a cushion to support the head of a sleeping person,bantal,bantal sagan manyangga kapala urang nang lagi guring
bow,curved piece of resilient wood with taut cord to propel arrows,busur,ikat panah nang diulah matan kayu nang dibungkuk lawan tali nang kuat
"war, warfare",the waging of armed conflict against an enemy,bakalahi,mangulah paparangan  basanjata lawan musuh
box,a (usually rectangular) container; may have a lid,kotak,wadah (biasanya babantuk bujur sangkar); kalu baisi tutup
work,activity directed toward making or doing something,"begawi, gawian",parbuatan nang ditunjukan gasan maulah atawa malakuakan sabuting hal
"company, companionship, fellowship, society",the state of being with someone,"kakumpulan, kakawanan",kaadaan wan sasaurang
conversation,the use of speech for informal exchange of views or ideas or information etc.,bepandiran,"penggunaan ujaran gasan batukar, pandangan, gagasan, informasi, dan sebagainya dangan cara nang kada formal"
"grandfather, gramps, granddad, grandad, granddaddy, grandpa",the father of your father or mother,kai,abah matan abah kam atawa uma kam
"grandma, grandmother, granny, grannie, gran",the mother of your father or mother,nini,uma matan abah atawa uma kam
staff,a strong rod or stick with a specialized utilitarian purpose,tungkat,tungkat nang kuat gasan bejalan dangan tujuan husus
"bay, embayment",an indentation of a shoreline larger than a cove but smaller than a gulf,taluk,"lekukan garis pantai nang teganal pada taluk, tapi tehalus pada jurang"
fog,droplets of water vapor suspended in the air near the ground,saun,titisan huap banyu nang terabang di udara parak tanah
"guest, invitee",a visitor to whom hospitality is extended,urang halat,pengunjung nang menerima kebaikan
"brain, encephalon",that part of the central nervous system that includes all the higher nervous centers; enclosed within the skull; continuous with the spinal cord,utak,"bahagian dari sistem saraf pusat nang mancakup berataan pusat saraf nang tetinggi, nang tekurung dalam tengkurak, dan berlanjut dangar sumsum, tulang belakang"
"puzzle, puzzler, mystifier, teaser",a particularly baffling problem that is said to have a correct solution,batangguhan,masaalah nang liwar ngalih meulah bingung nang ujar bisi solusi nang bujur
fault,responsibility for a bad situation or event,salah,tanggung jawab atas situasi nang kada baik dari peristiwa
"egg, eggs",oval reproductive body of a fowl (especially a hen) used as food,intalu,bahan reproduksi berbentuk oval unggas( terutama ayam) nang di pakai gasan makanan
count,the total number counted,bareken,jumlah total nang di hitung
"bridge, span",a structure that allows people or vehicles to cross an obstacle such as a river or canal or railway etc.,"jambatan, jumbatan",alat gasan menyubarang 
cuckoo,any of numerous European and North American birds having pointed wings and a long tail,kukuk,salah satu dari banyak burung eropa wan amerika utara nang bisi alar runcing wan ekor panjang
"bird louse, biting louse, louse",wingless insect with mouth parts adapted for biting; mostly parasitic on birds,kutu,karangga kada besayap dangan bahagian mulut nang beradaptasi gasan menggigit. sebagian bersifat parasit pada burung
"brook, creek",a natural stream of water smaller than a river (and often a tributary of a river),saka,aliran banyu alami nang tehalus pada sungai (wan rancak itu anak sungai)
"joy, joyousness, joyfulness",the emotion of great happiness,kahimungan,emosi himung nang liwar
milk,a white nutritious liquid secreted by mammals and used as food by human beings,susu,cairan putih bergizi nang di hasilkan oleh mamalia wan di pakai gasan makanan oleh manusia
cave,a geological formation consisting of an underground enclosure with access from the surface of the ground or from the sea,gua,formasi geologi nang tediri dari penutup bawah tanah dangan akses dari permukaan tanah atawa dari laut
fly,two-winged insects characterized by active flight,karangga,karangga bealar dua nang ditandai dangan terabang aktif
sign,a public display of a (usually written) message,ciri,dasan menampilkan ke publik lewat pesan
"kettle, boiler",a metal pot for stewing or boiling; usually has a lid,cirat,"alat dasan memasak banyu, dari logam"
"crisscross, cross, mark",a marking that consists of lines that cross each other,silang,tanda guris berbentuk silang
cloud,a visible mass of water or ice particles suspended at a considerable altitude,awan,bentuknya menyerupai es lawan banyu ada di atas tempat nang tinggi
butter,an edible emulsion of fat globules made by churning milk or cream; for cooking and table use,mantiga,"bahan dasan makanan, rancak dasan memanggang roti"
broom,a cleaning implement for sweeping; bundle of straws or twigs attached to a long handle,sasapu,alat dasan membarasih akan halaman lawan rumah
"aunt, auntie, aunty",the sister of your father or mother; the wife of your uncle,acil ,"ading atau kakak dari abah atau mama, bini dari julak"
"troop, flock",an orderly crowd,bubuhan,kerumunan nang tertib
stroke,a mark made by a writing implement (as in cursive writing),guris,mecirii buku pakai pensil
stick,a long thin implement resembling a length of wood,tungkat,alat mirip lawan bentuk kayu
"bucket, pail",a roughly cylindrical vessel that is open at the top,timba,alat dasan menyauk air di sumur
perch,any of numerous spiny-finned fishes of various families of the order Perciformes,GAP,
"edge, margin",a strip near the boundary of an object,biding,meulah biding di batasan objek
"animation, life, living, aliveness",the condition of living or the state of being alive,hidup,kata tentang kondisi atau kaadan
mosquito,two-winged insect whose female has a long proboscis to pierce the skin and suck the blood of humans and animals,rangit,binatang yang katuju meigut awak dasan meisap darah
pole,a long (usually round) rod of wood or metal or plastic,tihang,benda dari kayu atau plastik 
pike,any of several elongate long-snouted freshwater game and food fishes widely distributed in cooler parts of the northern hemisphere,GAP,
knife,edge tool used as a cutting instrument; has a pointed blade with a sharp edge and a handle,lading,alat dasan memotong bahan masakan di padapuran
"meaning, substance",the idea that is intended,paribasa,arti atau makna dari sesuatu ide
size,the physical magnitude of something (how big it is),ganal,kata dasan memadahi suatu fisik
"bundle, sheaf",a package of several things tied together for carrying or storing,kumpalan,paket nang terdiri dari sabarataan barang diikat jadi satu supaya gampang dibawa atau disimpan
honey,a sweet yellow liquid produced by bees,madu,cairan kuning manis nang dihasilkan lawan tabuan
knot,any of various fastenings formed by looping and tying a rope (or cord) upon itself or to another rope or to another object,buhul,pangikat nang dibentuk handak melilitakan gasan manyimpul tali (atau kabel) pada dirinya sorangan atau pada tali lain atau pada barang lain
wood,the hard fibrous lignified substance under the bark of trees,kayu,zat kayu nang berserat karas di bawah kulit pohon
"stove, kitchen stove, range, kitchen range, cooking stove",a kitchen appliance used for cooking food,"kompor, kompor dapur, kompor masak",alat dapur nang dipakai untuk masak makanan
duck,small wild or domesticated web-footed broad-billed swimming bird usually having a depressed body and short legs,itik,"burung halus liar atau haraguan nang bekunyung lawan paruh lebar bebatis jaring, biasanya bisi awak nang tertekan dan kaki nang pendek"
"board, plank",a stout length of sawn timber; made in a wide variety of sizes and used for many purposes,papan,kayu gergajian nang panjang lawan kokoh; diulah dalam berbagai ukuran lawan dipakai gasan berbagai keparluan
ladder,steps consisting of two parallel members connected by rungs; for climbing up or down,tangga,anak tangga nang terdiri dari dua bagian bejejer nang dihubungakan lawan anak tangga; gasan manjat ke atas atau ke bawah
"strap, shoulder strap",a band that goes over the shoulder and supports a garment or bag,"tali pangikat, tali bahu",tali nang melintasi bahu lawan menyangga pakaian atawa tas
"foam, froth",a mass of small bubbles formed in or on a liquid,buih,"gelembung halus nang banyak, tebentuk di dalam atau di atas cairan"
wool,fiber sheared from animals (such as sheep) and twisted into yarn for weaving,wol,serat nang dicukur dari hewan (saparti domba) dan dipintal jadi benang untuk ditenun
"food, solid food",any solid substance (as opposed to liquid) that is used as a source of nourishment,makanan,sabarataan zat padat (lain cair) nang dipakai gasan sumber makanan
dish,a particular item of prepared food,makanan,sabarataan zat padat (lain cair) nang dipakai gasan sumber makanan
"character, grapheme, graphic symbol",a written symbol that is used to represent speech,karakter,simbol tatulis nang dipakai gasan mawakili pandiran
pot,metal or earthenware cooking vessel that is usually round and deep; often has a handle and lid,"panci, tajau",wadah gasan bemasak dari logam atau tanah liat yang biasanya bentuknya bulat dan dalam: biasanya pakai pingkutan dan tutup 
button,a round fastener sewn to shirts and coats etc to fit through buttonholes,kancing,"pengikat bulat nang dijahit tang kemeja, mantel, dll, hagan dimasukkan ke dalam lubang kancing"
memory,something that is remembered,ingatan,sesuatu nang diingat
"string, twine",a lightweight cord,banang,seuting banang tipis
"rain, rainfall",water falling in drops from vapor condensed in the atmosphere,hujan,tetesan banyu yang gugur dari uap yang mengembun di atmosfer
pouch,a small or medium size container for holding or carrying things,tas halus,wadah halus atau sadang gasan manyimpan atau mambawa barang
"fever, febrility, febricity, pyrexia, feverishness",a rise in the temperature of the body; frequently a symptom of infection,panas awak,suhu awak benaik; biasanya itu gejala infeksi
"ant, emmet, pismire",social insect living in organized colonies; characteristically the males and fertile queen have wings during breeding season; wingless sterile females are the workers,samut,"samut nang hidup bakalompok, biasanya jantan wan ratu nang subur baisi sayap selama musim kawin kada besayap"
leather,an animal skin made smooth and flexible by removing the hair and then tanning,kulit,kulit binatang nang dibuat halus wan lentur dengan menghillangi bulunya imbah tuh disamak
goose,web-footed long-necked typically gregarious migratory aquatic birds usually larger and less aquatic than ducks,angsa,"burung banyu bebatis jaring, gulu panjang lawan biasanya berkelompok. lebih ganal dari itik."
shadow,shade within clear boundaries,bayangan,area taduh nang babatas
call,a request,panggilan,sebuah permintaan
hole,an opening into or through something,lubang,bukaan ke dalam atau melalui sesuatu
"happiness, felicity",state of well-being characterized by emotions ranging from contentment to intense joy,arai,keadaan sanang nang ditandai lawan emosi dari kepuasan sampai kegembiraan nang luar biasa
swan,stately heavy-bodied aquatic bird with very long neck and usually white plumage as adult,angsa,"burung banyu yang kada bisa tarabang, beawak ganal, gulu panjang, dan babulu warna putih "
"snow, snowfall",precipitation falling from clouds in the form of ice crystals,"salju, hujan salju",hujan nang gugur dari awan berbentuk gumpalan es serut
book,a written work or composition that has been published (printed on pages bound together),buku,"kartas nang bajilit, ada tulisan atau kusung"
island,a land mass (smaller than a continent) that is surrounded by water,pulau,"daratan, lebih halus dari benua, di kaliligi banyu"
"husband, hubby, married man",a married man; a woman's partner in marriage,laki,"lakian nang sudah babini, laki urang"
"area, expanse, surface area",the extent of a 2-dimensional surface enclosed within a boundary,"luas, parmukaan",luas parmukaan 2 diminsi yang tatutup dalam suatu batas
"meal, repast",the food served and eaten at one time,"makan, manyurung",makanan disurung dan dimakan basamaan
length,the linear extent in space from one end to the other; the longest horizontal dimension of something that is fixed in place,panjang,bajarak jauh dari ujung ka ujung
"distance, length",size of the gap between two places,jarak,jarak antara dua tampat
"head, caput",the upper part of the human body or the front part of the body in animals; contains the face and brains,kapala,awak bagian atas manusia
lake,a body of (usually fresh) water surrounded by land,danau,awak banyu nang dikalilingi daratan
ash,the residue that remains when something is burned,habu,sisa yang tatinggal imbah dibakar
"land, ground, soil",material in the top layer of the surface of the earth in which plants can grow (especially with reference to its quality or use),tanah,parmukaan bumi atau lapisan bumi nang manjadi tampat tumbuhnya tanaman
"leash, tether, lead",restraint consisting of a rope (or light chain) used to restrain an animal,tali,tali gasan maikat hiwan
jaw,the part of the skull of a vertebrate that frames the mouth and holds the teeth,wihang,bagian tengkorak nang membingkai muntung gasan menahan gigi.
"height, tallness",the vertical dimension of extension; distance from the base of something to the top,tinggi ,"batinggi, batambah jarak dari bawah sampai ka atas."
mainland,the main land mass of a country or continent; as distinguished from an island or peninsula,daratan,daratan utama nang membatasi nagara atawa banua
"neck, cervix",the part of an organism that connects the head to the rest of the body,gulu,bagian awak nang menghubungkan kapala lawan awak.
"nape, scruff, nucha",the back side of the neck,puhun gulu,bagian balakang gulu.
"throat, pharynx",the passage to the stomach and lungs; in the front part of the neck below the chin and above the collarbone,rakungan,"saluran nang manuju lambung lawan paru-paru, andakannya di muka gulu, di bawah dagu, lawan tulang salangka."
support,supporting structure that holds up or provides a foundation,panopang atawa dasar.,manahan atawa manyadiakan pondasi.
gift,something acquired without compensation,hadiah,di dapatakan tapi kada baharap imbalan.
soup,liquid food especially of meat or fish or vegetable stock often containing pieces of solid food,sup,"makanan nang bakuah, biasanya ada daging lawan tatakan sayur."
shoulder,the part of the body between the neck and the upper arm,bahu,bagian awak yang andakannya di antara gulu lawan langan atas.
"fabric, cloth, material, textile",artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers,kain,di ulah malalui rajut atawa manyusun.
"benefit, welfare",something that aids or promotes well-being,harakat ,sasuatu nang mandukung kasajahtraan.
"weather, weather condition, atmospheric condition",the meteorological conditions: temperature and wind and clouds and precipitation,cuaca,"kondisi suhu, angin, lawan curah hujan."
lid,a movable top or cover (hinged or separate) for closing the opening of a container,tudung,gasan manutup wadah.
"wind, air current, current of air",air moving (sometimes with considerable force) from an area of high pressure to an area of low pressure,"angin, arus udara, arus udara",udara nang bapindah (kadang lawan gaya nang ganal) dari wadah tekanan tinggi ke wadah tekanan randah
"thorax, chest, pectus",the part of the human torso between the neck and the diaphragm or the corresponding part in other vertebrates,"dada, dada, pektus",bagian awak manusia antara gulu lawan diafragma atau bagian nang sasuai pada vetebrata lainnya
cap,a tight-fitting headdress,topi,panutup kepala nang pas banar
"moor, moorland",open land usually with peaty soil covered with heather and bracken and moss,GAP,
"breast, bosom, knocker, boob, tit, titty",either of two soft fleshy milk-secreting glandular organs on the chest of a woman,payudara,salah satu dari dua organ lunak yang mangaluarkan susu dan berdaging di dada binian
"mountain, mount",a land mass that projects well above its surroundings; higher than a hill,gunung,sabuah daratan nang manjulang tinggi di atas lingkungannya; labih tinggi dari sabuah bukit
"navel, umbilicus, bellybutton, omphalos, omphalus",scar where the umbilical cord was attached,pusar,bakas luka di wadah tali pusar dipasang
bird,warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings,burung,vertebrata beintalu berdarah panas yang beciri oleh bulu lawan batis muka nang dimodifikasi jadi sayap
"abdomen, venter, stomach, belly",the region of the body of a vertebrate between the thorax and the pelvis,"parut, lubang angin, parur, parut",bagian awak vertebrata antara dada lawan panggul
"natural elevation, elevation",a raised or elevated geological formation,"katinggian alami, katinggian",formasi geoglogis nang ditinggikan
"back, dorsum",the posterior part of a human (or animal) body from the neck to the end of the spine,punggung,bagian balakang manusia atau hewan mulai gulu sampai hujung tulang balakng
nest,a structure in which animals lay eggs or give birth to their young,sarang,sabuah wadah gasan hewan beintalu atau melahirkan anak buhannya
leg,a structure in animals that is similar to a human leg and used for locomotion,batis,susunan pada binatang nang mirip batis manusia lawan dipakai gasan begarak
thigh,the part of the leg between the hip and the knee,paha,bagian batis antara pinggul lawan lintuhut
"fairytale, fairy tale, fairy story",a story about fairies; told to amuse children,aandi,kisah peri gasan kakanakan
"hide, pelt, skin",body covering of a living animal,kulimbit,panutup awak binatang hidup
"foot, human foot, pes",the part of the leg of a human being below the ankle joint,batis,bagian batis manusia di bawah buku lali
arm,a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb,pagalangan,bagian awak manusia mulai dari bahu sampai siku
"feather, plume, plumage",the light horny waterproof structure forming the external covering of birds,"bulu, bulu-bulu, bulu burung ",benda tahan banyu yang manutupi burung
"cargo, lading, freight, load, loading, payload, shipment, consignment",goods carried by a large vehicle,"paangkutan, angkutan, pangiriman",barang yang dibawa kandaraan ganal
"hand, manus, mitt, paw",the (prehensile) extremity of the superior limb,"pagalangan, kaus tangan, talapak batis",hujung yang dapat manjapai bagian awak atas
"palm, thenar",the inner surface of the hand from the wrist to the base of the fingers,talapak tangan,bagian dalam tangan mulai pagalangan tangan sampai hujung jari
"opening, gap",an open or empty space in or between things,"tabuka, halapat",bagian tabuka atau kusung di antara dua banda
finger,any of the terminal members of the hand (sometimes excepting the thumb),jariji,bagian hujung tangan
"fence, fencing",a barrier that serves to enclose an area,"pagar, pagar",panghalang gasan manutupi lahan
"day, twenty-four hours, twenty-four hour period, 24-hour interval, solar day, mean solar day",time for Earth to make a complete rotation on its axis,"hari, dua puluh ampat jam, _",pas bumi baputar sacara penuh pada porosnya
"part, piece",a portion of a natural object,"bagian, kapingan",bagian atau kapingan dari banda alami
"brother, blood brother",a male with the same parents as someone else,"dangsanak lakian, dangsanak sadarah",lakian yang baisi kuitan yang sama lawan urang lain
table,a piece of furniture having a smooth flat top that is usually supported by one or more vertical legs,meja/mija,alat atawa piranti yang biasa dipakai gasan nahan barang
"sleep, slumber",a natural and periodic state of rest during which consciousness of the world is suspended,guring,urang baistirahat dengan bapijim
"pit, cavity",a sizeable hole (usually in the ground),"lubang, garonggang",gorongga di paatasan
laughter,the activity of laughing; the manifestation of joy or mirth or scorn,tatawa,pas marasa lucu
"knee, knee joint, human knee, articulatio genus, genu",hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella,dungkul,antara paha dan batis
precipice,a very steep cliff,jurang,wadah yang curam
walk,the act of walking somewhere,jalan,bamaju atau bamundur
"sunday, lord's day, dominicus, sun",first day of the week; observed as a day of rest and worship by most Christians,ahad,"sabalum hari sanayan, sahabis hari sabat"
"tuesday, tues",the third day of the week; the second working day,salasa,sahabis hari sanayan
"monday, mon",the second day of the week; the first working day,sanayan,sabalum hari salasa
"thursday, th",the fifth day of the week; the fourth working day,hamis,sahabis hari arba
"wednesday, midweek, wed",the fourth day of the week; the third working day,arba,sahabis hari hamis
lock,a fastener fitted to a door or drawer to keep it firmly closed,"abat, ngkol, kunci",alan gasan mangunci
"saturday, sabbatum, sat",the seventh and last day of the week; observed as the Sabbath by Jews and some Christians,sabat,sahabis hari jumahat
"friday, fri",the sixth day of the week; the fifth working day,"jumaat, jumahat",sabalum hari sabat
"noon, twelve noon, high noon, midday, noonday, noontide",the middle of the day,siang,siang ari
"morning, morn, morning time, forenoon",the time period between dawn and noon,baisukan ,"baaisukan, baisukan, saisukan, "
rainbow,an arc of colored light in the sky caused by refraction of the sun's rays by rain,pelangi ,pelangi
toe,one of the digits of the foot,batis,jari batis
"evening, eve, even, eventide",the latter part of the day (the period of decreasing daylight from late afternoon until nightfall),"kamarian, sanja, parak kadap","basanjaan hari, parak kadap, kamarian, kesorean"
"night, nighttime, dark",the time after sunset and before sunrise while it is dark outside,malam,malam ari
heel,the back part of the human foot,tumit,tumit batis
"king, male monarch, rex",a male sovereign; ruler of a kingdom,"raja, sultan","raja, sultan, pagustian, padatuan. "
"elbow, elbow joint, human elbow, cubitus, cubital joint, articulatio cubiti",hinge joint between the forearm and upper arm and the corresponding joint in the forelimb of a quadruped,siku ,siku tangan
"address, speech",the act of delivering a formal spoken communication to an audience,"alamat, pidato",bapidato
"ribbon, thread",any long object resembling a thin line,pita,bapita
"week, hebdomad",any period of seven consecutive days,ahad,saminggu
nail,horny plate covering and protecting part of the dorsal surface of the digits,kuku,kuku jari
"hunger, hungriness",a physiological need for food; the consequence of food deprivation,lapar,kalaparan
river,a large natural stream of water (larger than a creek),batang banyu,aliran banyu alami nang ganal (labih ganal dari sungai)
"rock, stone",a lump or mass of hard consolidated mineral matter,batu,gumpalan atawa massa dari bahan mineral nang tapadat
fingernail,the nail at the end of a finger,"kuku jariji, kuku",kuku nang di hujung jari
sea,a division of an ocean or a large body of salt water partially enclosed by land,laut,sabuah divisi lautan atawa sabuah awak banyu masin nang tahalus ulih daratan
"seashore, coast, seacoast, sea-coast",the shore of a sea or ocean,pinggir laut/pantai,pinggir laut atawa samudera
butterfly,diurnal insect typically having a slender body with knobbed antennae and broad colorful wings,rama-rama,serangga diumal biasanya baisi awak langsing lawan antena mancungul wan sayap lebar bawarna-warni
shore,the land along the edge of a body of water,bagian darat/darat/pinggir banyu pantai,tanah di sapanjang pinggir banyu pantai
"price, terms, damage",the amount of money needed to purchase something,"haraga, sambatan, karusakan",jumlah duit nang diparluakan gasan batatukar
clay,a very fine-grained soil that is plastic when moist but hard when fired,tanah liat,tanah babutir halus banar nang basipat plastik pas basah tapi karing pas dipanasakan
worm,any of numerous relatively small elongated soft-bodied animals especially of the phyla Annelida and Chaetognatha and Nematoda and Nemertea and Platyhelminthes; also many insect larvae,hulat cacing,binatang babantuk lunak nang relatif halus wan bapanjang tautama matan filum annelida wan chaetognatha wan nematoda wan nemertea wan platyhelminthes; jua banyak mamasukakan larva
"pine, pine tree, true pine",a coniferous tree,"pinus, puhun pinus, bujuran pinus",pohon nang jenis konifera
"commercial enterprise, business enterprise, business",the activity of providing goods and services involving financial and commercial and industrial aspects,"usaha bajualan, bisnis","kagiatan manyadiakan barang wan jasa nang malibatakan aspék kauangan, komersial, wan industri"
sky,the atmosphere and outer space as viewed from the earth,langit,atmosfer wan luar angkasa amun dilihat matan bumi
"sister, sis",a female person who has the same parents as another person,dingsanak binian,dingsanak binian sakuitan/sama kuitannya
spark,a small fragment of a burning substance thrown out by burning material or by friction,perancingan,pecahan halus matan zat nang tabakar dibuang malalui bahan nang tabakar atawa malalui gesekan
"nose, olfactory organ",the organ of smell and entrance to the respiratory tract; the prominent part of the face of man or other mammals,"idung, bagian awak nang mancium bau","organ gasan masuk saluran napas wan mancium bau, bagian muha manusia atau mamalia lain nang menonjol"
"spring, fountain, outflow, outpouring, natural spring",a natural flow of ground water,banyu,babanyuan
"chin, mentum",the protruding part of the lower jaw,dagu,dagu 
star,any celestial body visible (as a point of light) from the Earth at night,bintang,"bulan, bintang"
force,a powerful effect or influence,pamaksaan,tapaksa
"face, human face",the front of the human head from the forehead to the chin and ear to ear,muha,muha sabijian
"brow, forehead",the part of the face above the eyes,"kaning, dahi","kaning, dahi"
cheek,either side of the face below the eyes,pipi,muha pipi
sun,a typical star that is the source of light and heat for the planets in the solar system,matahari,matahari manggantang
"fir, fir tree, true fir",any of various evergreen trees of the genus Abies; chiefly of upland areas,GAP,
"swamp, swampland",low land that is seasonally flooded; has more woody plants than a marsh and better drainage than a bog,tanah rawa,tanah rawa pahumaan
chair,"a seat for one person, with a support for the back",bangku,bangku 
"history, account, chronicle, story",a record or narrative description of past events,kisah,kisah bahari
"mind, head, brain, psyche, nous",that which is responsible for one's thoughts and feelings; the seat of the faculty of reason,pamikiran,cara bapikir
tea,a beverage made by steeping tea leaves in water,teh,maulah teh
"floor, flooring",the inside lower horizontal surface (as of a room or hallway),lantai,permukaannya datar
trail,a track or mark left by something that has passed,jajak,jejak yang ditinggal akan
"health, wellness",a healthy state of wellbeing free from disease,bigas,awak rasa sigar
water,a fluid necessary for the life of most animals and plants,banyu,gasan minum
disease,an impairment of health or a condition of abnormal functioning,panyakit,gangguan di awak
"universe, existence, creation, world, cosmos, macrocosm",everything that exists anywhere,semesta,semuaan ada didalamnya
"ability, power",possession of the qualities (especially mental qualities) required to do something or get something done,kabisaan,kualitas diri
"year, twelvemonth, yr",a period of time containing 365 (or 366) days,tahun,365 hari
"child, kid, youngster, minor, shaver, nipper, small fry, tiddler, tike, tyke, fry, nestling",a young person of either sex,anak,urang anum dari yang tuha
"son, boy",a male human offspring,anak lakian,katurunan laki-laki
